,24km,23km,22km,21km,20km,19km,18km,17km,16km,15km,14km,13km,12km,11km,10km,9km,8km,7km,6km,5km,4km,3km,2km,1km,0km,-1km,-2km,-3km,-4km,-5km,-6km,-7km,-8km,-9km,-10km,-11km
1969-11-01,3.263,3.883,4.585,5.312,5.891,6.752000000000001,7.903,9.036,10.334000000000001,11.332,12.058,13.437000000000001,14.126,14.387,14.505,15.127,14.036,12.203,11.505,10.665999999999999,7.882999999999999,5.903,5.257999999999999,4.705,3.0389999999999997,1.75,1.6019999999999999,1.8,2.06,2.276,2.635,3.016,3.326,3.312,3.451,-9999.0
1969-12-01,4.005,4.126,4.53,4.975,5.297000000000001,5.9239999999999995,6.7,7.82,9.109,10.628,12.220999999999998,13.864,14.696,15.347999999999999,15.707,15.545,14.309000000000001,13.767999999999999,12.632,11.970999999999998,9.914,7.638999999999999,5.7170000000000005,5.393,3.6060000000000003,2.069,1.645,1.462,1.666,1.946,2.233,2.4219999999999997,2.714,2.822,2.403,1.899
1970-01-01,3.373,3.562,4.4319999999999995,5.609,5.8839999999999995,6.896,6.872999999999999,7.757000000000001,8.654,9.76,11.11,13.17,14.11,15.874,15.809000000000001,15.561,14.850999999999999,13.91,12.629000000000001,11.321,8.892999999999999,8.456,7.92,6.617000000000001,4.0280000000000005,2.248,1.649,1.6780000000000002,1.6280000000000001,1.7169999999999999,2.024,2.1919999999999997,2.2969999999999997,1.9,1.2990000000000002,1.266
1970-02-01,4.204,4.928,5.683,6.1339999999999995,7.18,8.184,9.652000000000001,10.819,12.686,13.956,15.548,16.811,17.374000000000002,18.131,17.887999999999998,16.5,15.299000000000001,16.039,14.613,14.507,13.285,12.177999999999999,9.807,8.227,5.05,3.123,2.391,2.166,2.016,2.146,2.24,2.109,1.868,1.3159999999999998,0.878,-9999.0
1970-03-01,5.422000000000001,6.7170000000000005,6.895,7.4879999999999995,8.399,9.301,9.986,11.5,12.714,14.357999999999999,15.772,17.105,17.602999999999998,17.227999999999998,16.299,16.834,16.535999999999998,14.011,12.475,12.295,13.125,12.894,12.892000000000001,10.185,6.106,3.563,2.679,2.298,2.6239999999999997,2.681,2.693,2.557,2.2,1.702,2.506,1.536
1970-04-01,5.561,5.859,6.492000000000001,7.422999999999999,8.299,9.128,9.884,11.034,11.847999999999999,13.168,14.377,15.253,16.123,17.016,16.21,16.707,17.063,17.195,15.460999999999999,14.998,11.577,11.251,11.549000000000001,10.357999999999999,5.809,3.7319999999999998,3.1239999999999997,3.148,3.36,3.014,2.8789999999999996,2.66,2.887,2.9210000000000003,2.773,3.406
1970-05-01,5.486000000000001,6.414,6.417999999999999,6.917999999999999,6.938,7.441,8.013,9.202,10.257,11.015999999999998,12.061,13.651,15.370999999999999,16.299,17.765,16.733,14.34,12.515,11.401,10.84,10.947000000000001,10.456,11.779000000000002,10.417,5.809,2.3369999999999997,2.09,2.273,2.7319999999999998,2.952,3.358,3.721,4.1610000000000005,4.121,3.407,3.4930000000000003
1970-06-01,5.048,5.064,5.909,6.8020000000000005,7.47,7.952999999999999,9.22,10.524000000000001,10.597999999999999,11.780999999999999,12.48,13.068,14.142000000000001,14.589,15.027999999999999,14.565999999999999,12.189,10.895999999999999,10.219,9.33,8.886000000000001,9.181000000000001,8.52,8.591000000000001,7.106,4.513,4.276,3.5439999999999996,3.193,3.1439999999999997,3.2460000000000004,3.622,3.803,4.058,4.864,4.587
1970-07-01,4.755,5.046,5.968,6.928,7.457999999999999,8.64,9.71,10.786,11.529000000000002,12.449000000000002,12.901,13.512,13.953,13.839,13.458,13.434000000000001,12.07,10.571,9.046,7.559,6.89,6.301,7.284,6.617999999999999,4.726,2.588,2.427,2.218,2.352,2.658,2.98,3.117,3.623,3.577,3.716,3.444
1970-08-01,4.154,4.862,5.579,6.147,6.956,7.916,9.01,10.405,11.431,11.925,12.182,12.425999999999998,11.860999999999999,12.556,12.739,12.408,11.772,11.34,9.854,8.026,6.667999999999999,5.664,4.665,4.787,4.07,2.454,1.93,2.086,2.563,2.733,2.9810000000000003,3.032,3.4930000000000003,3.967,4.039,3.739
1970-09-01,4.641,4.654,5.172000000000001,5.851,6.653,7.295,7.902,8.529,9.682,10.294,11.529000000000002,11.802999999999999,12.17,12.909,13.119000000000002,12.699000000000002,12.532,11.175999999999998,10.146,8.079,6.527,4.7,3.958,2.9930000000000003,2.2880000000000003,1.459,1.391,1.618,1.694,1.818,2.1319999999999997,2.2430000000000003,2.675,3.092,3.138,3.3080000000000003
1970-10-01,4.354,3.734,4.15,4.255,5.034,5.466,7.132999999999999,7.2620000000000005,8.482000000000001,9.498,10.77,11.582,12.356,12.424000000000001,12.895,13.177999999999999,12.583,12.2,11.45,10.006,7.277,4.774,3.98,3.9739999999999998,2.602,1.291,0.953,0.995,1.2990000000000002,1.588,1.956,2.435,2.521,2.805,2.992,3.19
1970-11-01,3.753,3.637,3.875,4.738,6.164,6.864,8.177999999999999,9.227,10.607000000000001,11.802999999999999,12.690999999999999,13.373,13.78,13.377,12.769,12.081,11.469000000000001,9.882,10.017999999999999,9.123,5.734,4.76,3.678,2.736,1.8090000000000002,1.162,1.2890000000000001,1.304,1.561,1.9,2.2,2.687,2.8510000000000004,2.716,2.591,2.613
1970-12-01,3.642,3.572,4.583,5.855,6.76,7.317,8.318999999999999,9.619,10.612,11.504000000000001,12.934000000000001,13.091,13.481,13.029000000000002,13.216,12.984000000000002,12.935,11.657,9.334,8.47,7.267,7.232,6.239,4.623,2.435,1.0859999999999999,1.075,1.249,1.436,1.6269999999999998,1.9969999999999999,2.253,2.46,2.242,3.1319999999999997,3.325
1971-01-01,-9999.0,-9999.0,4.906000000000001,6.129,7.061,7.8260000000000005,10.872,12.232000000000001,13.315999999999999,14.183,16.77,16.771,17.465,15.821,13.665999999999999,14.187999999999999,15.23,15.299000000000001,12.947000000000001,10.22,9.471,9.155,8.262,7.6770000000000005,4.7780000000000005,3.472,2.173,1.89,1.496,1.3359999999999999,1.506,1.847,1.4980000000000002,1.588,2.234,-9999.0
