date,0km_ds,1km_ds,2km_ds,3km_ds,4km_ds,5km_ds,6km_ds,7km_ds,8km_ds,9km_ds,10km_ds,11km_ds
1994-08-01,-0.301024549186595,-0.2599045346062052,-0.05141525695740529,0.0016641894381136503,-0.03119105183453341,-0.05270595699886063,-0.09124099382895565,-0.03187989921612545,0.03393600638795411,-0.049900808789867114,-0.05411392405063312,0.13083715728993947
1994-09-01,-0.0640401699497876,-0.061039134499799745,-0.03806111899208964,-0.02850406403176762,-0.000279117987160772,-0.06189150596414288,-0.05109961190168182,-0.027971643677529284,-0.02519425476807163,-0.12168188575069007,-0.1589543621240776,0.3422397809776298
1994-10-01,-0.07905667263342644,-0.10703874489849986,-0.12988070137980723,-0.06342307367710368,-0.04891524263080906,-0.06980454726765084,-0.09444158517756042,-0.10751901372535985,-0.1457972777024182,-0.18399792068270934,0.13611141814966304,0.1716942617373553
1994-11-01,-0.36598018133853544,-0.16221643733729996,-0.10835695090970508,-0.11550337779589016,-0.050914224956859815,-0.07432301177201898,-0.1316935803229639,-0.12994035600733372,-0.24594752470427894,-0.4156547730244724,-0.45250646985526694,-0.1889515219842165
1994-12-01,-0.1566077926688559,-0.0650964998364409,-0.0431630971993411,-0.05441486706282107,-0.07051829767120557,-0.10715955047046148,-0.15028228335872396,-0.16605919230208493,-0.16655780535597645,-0.21853242946134124,-0.300438118272109,-0.071048963901184
1995-01-01,-0.14606826753596275,-0.14710865145696858,-0.13540978900531092,-0.10557488595066887,-0.09922158796056052,-0.0780706893184925,-0.09480525183331122,-0.09529297865474155,-0.11338896554745172,0.04476962410923149,0.143964198395791,0.20760378979465893
1995-02-01,-0.15620111355952151,-0.13918969988401955,-0.11773653787648324,-0.09554782361712719,-0.09362268881228465,-0.07919680718383645,-0.09145513323258798,-0.09167367535744313,0.03350855472793313,0.12682655087203076,0.5996194243793737,0.0667491884064737
1995-03-01,-0.08314724050926582,-0.13632395916353546,-0.13558384061981169,-0.16808688624537438,-0.14063155930780363,-0.10852419607132872,-0.06990870132289945,0.15695049426178964,0.5090379008746357,0.579236358753227,0.49598541010397673,0.2876294198085563
1995-04-01,-0.23894282632146702,-0.13576023458277423,-0.06717307829902913,-0.0562422744128553,-0.06917164816396251,-0.08243629922332744,-0.14304709141274227,-0.1473450234625832,-0.25979733301116026,-0.4085912052117264,-0.3475170538567953,-0.393526348677359
1995-05-01,-0.010035426413044893,0.05281032433350334,-0.02913551849722061,-0.031806516836456966,-0.018090053306113213,-0.08261413286810454,-0.11459736062483175,-0.13100502135951425,-0.11974893182591596,-0.011823016159843006,-0.14782783588093307,0.04499544314263394
