,0km,1km,2km,3km,4km,5km,6km,7km,8km,9km,10km,11km,12km,13km,14km,15km,16km,17km,18km,19km,20km,21km,22km,23km,24km,25km,26km,27km,28km,29km,30km,31km,32km,33km,34km,35km
1993-09-01,2.109,3.498,3.985,3.766,3.6519999999999997,3.741,3.173,3.302,3.3819999999999997,2.8289999999999997,3.383,4.371,4.274,4.245,4.871,5.615,6.517,8.715,10.759,11.578,11.854000000000001,12.395999999999999,12.927,12.585,12.728,13.254000000000001,12.218,11.155,9.454,8.344,8.308,7.6129999999999995,-9999.0,-9999.0,-9999.0,-9999.0
1993-10-01,2.244,3.284,3.465,3.272,3.221,2.8930000000000002,2.56,2.2640000000000002,2.227,2.5469999999999997,2.662,2.8139999999999996,3.9930000000000003,4.698,4.64,5.353,6.042999999999999,8.874,9.625,10.512,11.232000000000001,11.909,12.029000000000002,11.774000000000001,10.283,10.298,8.443999999999999,7.757000000000001,6.898,6.337999999999999,5.71,5.099,4.503,4.077,-9999.0,-9999.0
1993-11-01,1.541,2.9989999999999997,3.201,2.8810000000000002,2.588,2.572,2.6,3.0189999999999997,1.868,1.489,1.735,3.417,4.25,4.056,4.685,4.948,6.017,7.942,11.093,11.683,12.088,13.189,13.357999999999999,12.948,12.255999999999998,11.337,9.82,8.252,7.004,6.104,5.667000000000001,4.705,3.9789999999999996,3.4219999999999997,-9999.0,-9999.0
1993-12-01,1.645,3.158,3.076,3.0069999999999997,2.7489999999999997,2.492,2.295,2.001,2.1959999999999997,3.425,4.07,5.069,5.978,5.975,6.281000000000001,6.353,8.685,11.025,12.254000000000001,13.013,14.445,15.09,14.309000000000001,13.404000000000002,12.038,10.668,9.307,7.816,6.54,5.68,4.975,4.522,4.261,3.905,-9999.0,-9999.0
1994-01-01,1.953,2.9819999999999998,2.8489999999999998,2.6010000000000004,2.474,2.191,2.013,1.795,1.68,2.358,3.522,5.425,7.449,5.644,5.396,6.739,10.350999999999999,11.974,13.129000000000001,14.936,16.329,16.897000000000002,15.365,14.22,12.998,12.055,10.752,9.035,7.769,7.059,5.492000000000001,4.566,3.6039999999999996,-9999.0,-9999.0,-9999.0
1994-02-01,2.356,3.418,3.338,3.1039999999999996,2.872,2.7689999999999997,2.508,1.881,1.73,2.292,4.006,6.375,7.091,8.411,8.591000000000001,8.886000000000001,11.974,15.489,17.592,18.736,19.203,19.167,18.125,17.169,16.085,15.242,14.157,12.672,11.452,10.754000000000001,9.296,8.126,7.119,5.781000000000001,4.995,4.361000000000001
1994-03-01,2.819,3.3739999999999997,3.56,3.2680000000000002,3.1839999999999997,2.778,2.325,2.24,2.296,2.8489999999999998,4.035,5.978,7.126,6.968999999999999,8.656,8.646,10.787,12.939,14.374,15.34,15.932,15.270999999999999,14.251,12.934000000000001,11.57,10.405999999999999,9.222999999999999,8.651,7.662000000000001,6.779,6.063,5.43,4.529,3.9989999999999997,-9999.0,-9999.0
1994-04-01,3.266,3.952,3.718,3.486,3.5210000000000004,3.175,2.636,2.2680000000000002,2.256,3.3710000000000004,5.2139999999999995,8.632,9.696,8.463,10.495999999999999,11.533,13.681,15.527000000000001,17.154,17.18,17.215999999999998,17.049,15.954,14.138,12.824000000000002,11.877,11.27,10.593,9.914,9.191,8.302,7.377999999999999,6.51,5.45,-9999.0,-9999.0
1994-05-01,3.938,5.126,4.611000000000001,4.378,4.734,3.813,3.179,2.553,2.597,2.285,3.53,6.957000000000001,9.923,8.901,6.617999999999999,8.468,12.735,12.277999999999999,13.134,14.581,16.058,16.058,15.185,14.067,13.459000000000001,12.927999999999999,11.963,10.845,10.238,9.892999999999999,9.078,8.301,-9999.0,-9999.0,-9999.0,-9999.0
1994-06-01,3.676,3.687,4.24,3.9930000000000003,4.013,3.8680000000000003,3.8360000000000003,3.0460000000000003,3.011,2.64,2.9189999999999996,4.338,5.824,7.024,6.572,6.271,8.211,10.004,10.797,12.103,12.953,13.465,13.718,13.25,13.261,12.283,11.574000000000002,11.970999999999998,11.344000000000001,10.364,9.402000000000001,8.158999999999999,6.669,6.521,-9999.0,-9999.0
1994-07-01,5.067,5.572,5.026,4.127,3.767,3.792,3.6860000000000004,4.4319999999999995,4.515,4.044,4.275,4.431,4.245,4.776,4.852,5.632000000000001,6.9,7.7139999999999995,9.083,11.061,12.424000000000001,12.698,12.369000000000002,12.144,12.259,12.579,12.539000000000001,11.638,10.864,9.84,9.014,7.907,6.999,6.23,5.367999999999999,4.5760000000000005
1994-08-01,5.402,5.251,3.958,3.864,3.742,3.467,3.385,3.173,2.9789999999999996,2.6919999999999997,2.8510000000000004,3.5789999999999997,3.322,3.931,4.7410000000000005,5.827999999999999,7.278,7.667000000000001,8.863,10.26,11.779000000000002,12.155,11.883,12.14,12.957,12.259,11.73,10.968,10.377,9.573,8.597000000000001,7.507999999999999,6.564,6.093999999999999,-9999.0,-9999.0
1994-09-01,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1994-10-01,2.955,3.5239999999999996,3.1010000000000004,3.0,3.01,2.535,2.187,2.0140000000000002,1.8030000000000002,1.87,2.5,3.503,4.0680000000000005,3.846,4.59,6.348,9.449,9.479,10.479000000000001,11.209000000000001,11.706,11.88,12.07,11.757,11.556,11.009,9.593,8.692,7.767,6.961,6.3229999999999995,5.904,5.385,4.69,-9999.0,-9999.0
1994-11-01,1.995,3.073,3.0210000000000004,2.737,2.449,2.301,2.423,2.0469999999999997,1.824,1.922,2.008,2.434,2.69,3.605,5.697,6.3629999999999995,7.414,7.571000000000001,8.94,10.559000000000001,11.357000000000001,12.259,12.442,12.116,11.847999999999999,11.177,9.842,8.562000000000001,8.122,7.2860000000000005,5.058,4.739,4.123,-9999.0,-9999.0,-9999.0
1994-12-01,2.1959999999999997,2.964,2.987,3.016,2.523,2.237,2.086,1.9680000000000002,1.973,2.6,3.445,4.2219999999999995,5.331,5.882999999999999,8.051,7.2860000000000005,9.142999999999999,10.56,12.43,12.833,13.661,14.157,14.059000000000001,13.526,12.269,11.119000000000002,10.015,8.685,7.273,6.067,4.925,4.337,4.042,3.313,-9999.0,-9999.0
1995-01-01,2.162,3.26,3.273,3.145,2.9589999999999996,2.9160000000000004,2.57,2.178,2.16,3.236,4.783,6.183,6.777,6.763,6.939,7.763,8.916,9.225,11.299000000000001,13.282,12.331,12.135,12.302,12.307,11.772,10.970999999999998,9.398,7.648,6.28,5.3,4.766,4.396,3.83,3.1210000000000004,2.845,-9999.0
1995-02-01,1.7409999999999999,2.668,3.0060000000000002,2.86,2.66,2.7460000000000004,2.594,2.617,4.212,5.1,7.627000000000001,8.531,9.593,10.286,9.652000000000001,11.270999999999999,11.557,11.982999999999999,13.345,15.257,14.069,14.536,14.061,13.547,12.662,11.4,9.741,8.391,7.207999999999999,6.495,5.407,4.601,4.126,3.537,-9999.0,-9999.0
1995-03-01,2.166,2.983,3.1039999999999996,3.105,2.8080000000000003,2.85,2.786,3.198,4.064,4.962,7.324,9.548,10.023,9.337,9.508,11.780999999999999,12.364,14.091,14.433,15.593,15.978,15.935,15.012,14.263,13.059000000000001,11.465,10.212,9.135,8.288,7.473,6.622000000000001,5.831,5.046,4.563,4.194,-9999.0
1995-04-01,2.997,4.162,4.197,3.8989999999999996,3.5469999999999997,3.298,2.748,2.55,3.015,3.522,3.522,4.564,5.632000000000001,7.462999999999999,9.154,8.282,9.173,11.091,10.913,12.943,14.806,14.982000000000001,14.636,13.911,12.74,11.700999999999999,10.684000000000001,9.657,8.696,7.851,6.985,5.9879999999999995,5.05,4.746,-9999.0,-9999.0
1995-05-01,3.555,3.948,4.426,4.494,3.642,3.0039999999999996,2.611,3.23,3.895,6.019,8.42,9.634,9.889,10.24,10.489,10.341,11.882,13.167,13.902999999999999,14.399000000000001,15.152999999999999,15.440999999999999,14.648,14.280999999999999,13.825,12.9,11.892000000000001,10.866,9.512,8.457,7.482,6.707000000000001,-9999.0,-9999.0,-9999.0,-9999.0
1995-06-01,3.2,3.6639999999999997,3.852,3.58,3.5460000000000003,3.3710000000000004,3.9730000000000003,4.468,4.9,5.027,4.9430000000000005,5.707999999999999,7.406000000000001,6.864,5.718,6.829,7.78,8.994,9.984,10.681,11.448,12.328,12.529000000000002,11.911,10.844000000000001,10.259,9.919,10.033,9.57,8.886000000000001,7.89,6.89,6.324,-9999.0,-9999.0,-9999.0
1995-07-01,5.254,5.167000000000001,4.916,4.55,3.987,4.01,3.8110000000000004,3.391,3.4619999999999997,2.77,2.396,2.7510000000000003,3.4219999999999997,4.091,4.378,4.999,5.692,6.688,7.752999999999999,9.151,11.175999999999998,12.190999999999999,12.667,13.404000000000002,12.785,12.523,12.355,11.525,10.542,9.607000000000001,8.545,7.558,6.9910000000000005,-9999.0,-9999.0,-9999.0
1995-08-01,4.808,4.821000000000001,4.1739999999999995,4.0089999999999995,3.659,3.717,3.31,2.827,2.5789999999999997,2.4130000000000003,2.325,2.397,3.735,4.333,5.147,5.752000000000001,6.77,7.858,8.744,10.187000000000001,11.32,12.074000000000002,11.979000000000001,12.265999999999998,11.935,11.199000000000002,10.599,10.272,9.665,8.873,7.979,7.09,6.282,5.25,-9999.0,-9999.0
1995-09-01,2.476,3.2,3.2689999999999997,3.4960000000000004,3.263,3.042,2.627,2.472,2.26,2.443,3.237,4.27,4.551,4.717,5.242000000000001,6.212999999999999,7.32,8.577,9.961,11.169,12.144,12.575999999999999,12.784,12.706,11.684000000000001,10.75,10.084,9.562000000000001,8.962,8.116,7.257999999999999,6.414,5.6770000000000005,-9999.0,-9999.0,-9999.0
1995-10-01,2.443,3.5869999999999997,3.614,3.2910000000000004,2.8539999999999996,2.401,2.129,1.831,1.587,1.38,1.236,1.2690000000000001,1.506,2.167,2.998,3.737,4.88,6.019,7.716,9.821,10.9,11.444,11.982999999999999,12.395999999999999,12.258,11.687000000000001,10.817,9.809,8.338,6.865,5.919,5.117,4.114,3.201,-9999.0,-9999.0
1995-11-01,1.665,3.0810000000000004,3.236,2.972,2.741,2.477,2.274,1.942,1.682,1.685,2.636,3.924,4.268,4.295,4.061,5.761,7.621,9.019,10.355,10.574000000000002,10.97,11.255999999999998,11.321,11.677999999999999,10.934000000000001,9.828,8.312999999999999,6.904,5.622999999999999,4.8,4.088,3.465,2.804,2.641,-9999.0,-9999.0
1995-12-01,1.661,2.873,3.178,2.989,2.8080000000000003,2.5340000000000003,2.262,2.138,2.161,2.103,2.787,3.7880000000000003,5.462000000000001,6.071000000000001,7.46,9.391,10.839,9.995,11.517999999999999,13.15,13.720999999999998,13.890999999999998,13.68,12.987,11.536,10.509,9.075,7.736000000000001,6.414,5.395,4.787,3.827,3.45,3.397,2.938,-9999.0
1996-01-01,1.9880000000000002,3.443,3.238,3.0380000000000003,2.964,2.451,2.108,1.874,1.8230000000000002,1.598,1.8780000000000001,2.738,4.699,5.524,5.1,5.765,7.48,7.651,9.236,11.402999999999999,13.089,12.85,12.919,12.931,12.159,10.854000000000001,9.341000000000001,7.996,6.093999999999999,4.707,4.01,3.225,3.147,2.659,-9999.0,-9999.0
1996-02-01,1.7930000000000001,2.825,3.0580000000000003,2.988,2.6889999999999996,2.505,2.247,2.12,2.18,2.877,4.3660000000000005,6.153,7.7829999999999995,9.222999999999999,9.806000000000001,9.845,11.639000000000001,12.342,12.443,13.415999999999999,12.908,13.265999999999998,13.79,12.954,11.717,10.47,9.371,8.156,7.572,6.58,5.665,4.763999999999999,4.077,3.253,2.8160000000000003,2.358
1996-03-01,2.885,4.593999999999999,4.323,3.965,3.947,3.597,3.8560000000000003,3.888,4.423,4.254,6.215,7.877000000000001,9.245,6.336,7.3020000000000005,8.142000000000001,9.185,11.065999999999999,13.390999999999998,14.532,15.189,15.008,15.835,14.927,13.589,12.237,11.015999999999998,9.892000000000001,8.644,7.872000000000001,6.624,5.51,4.69,4.064,3.4960000000000004,3.033
