date,-11km_ds,-10km_ds,-9km_ds,-8km_ds,-7km_ds,-6km_ds,-5km_ds,-4km_ds,-3km_ds,-2km_ds,-1km_ds,0km_ds,1km_ds,2km_ds,3km_ds,4km_ds,5km_ds,6km_ds,7km_ds,8km_ds,9km_ds,10km_ds,11km_ds,12km_ds,13km_ds,14km_ds,15km_ds,16km_ds,17km_ds,18km_ds,19km_ds,20km_ds,21km_ds,22km_ds,23km_ds,24km_ds
1992-12-15,0.0011630064955147578,0.049102795938238894,0.11186172697545733,0.05824436983665921,0.049102863546152765,0.05994435035083509,0.053086757366513984,0.019094602437608885,0.11319507560109081,-0.12189346717396601,-0.2380835843373493,0.022691722789485166,0.1651572730870021,0.06465970552884627,-0.16617730630801295,-0.32105527615443474,-0.24937815501968708,-0.10670175172727345,-0.1559339638973261,-0.20665400066714049,-0.16760743625380145,-0.1889690098913782,-0.12410304475472429,-0.0854700361010832,-0.016969734614966293,0.1269967505870785,0.21483846906904125,0.2523482134211292,0.27586244428601747,0.3581637778633075,0.3598592428451046,0.2212791837623907,0.23700815621707924,0.18235358404876698,0.2629951802139139,
1993-01-15,0.1260437488481549,0.034048916737730715,-0.04234960901422354,-0.1234322612690923,-0.15444334765093518,-0.16267423178798357,-0.17578889923276944,-0.1853042479908152,-0.20078350755386618,-0.26855965748444943,-0.32290960893660636,-0.3514638320871992,-0.47634422814272137,-0.4748654706204361,-0.422516688888181,-0.38867137168840465,-0.29291197288405946,-0.18448988636442332,-0.23988715291277998,-0.1314987904112601,-0.12844187963726286,-0.1477187970114912,-0.09710728233163488,-0.08013259765619633,-0.04004502385192157,-0.036783305227656,-0.04354513906950146,-0.08403957502304576,-0.10301250830746034,-0.12185089375189347,-0.16591826522101777,-0.17472438098680654,-0.14413258534340884,-0.32305245109178415,,
1993-02-15,0.13397322247355878,0.14539762650129137,-0.004492044353027494,0.04259940062364257,0.1400350780024,0.026628549868671275,-0.010352841749419051,0.001671841413900089,0.01279853275387749,-0.10448057491116278,-0.031214730257005538,-0.4452434031859268,-0.49270086374421856,-0.28996211605025746,-0.1822099133890099,-0.3670877045574345,-0.08318651254064433,-0.05370702833099245,-0.15332672157302407,-0.13056208082252402,-0.010119796510037771,-0.0669920020337615,-0.056235154545477645,-0.05383002363373322,-0.07580903148036552,-0.11378280377732568,-0.16733128722543414,-0.19252339606067775,-0.17856742736062717,-0.11833022100345997,-0.10039996682890728,-0.0814291951680978,-0.07512293077259734,-0.08586633916692263,,
1993-03-15,-0.11892406053965536,-0.016582820942798705,-0.034979549478053935,-0.03512700748608361,0.030818809005083558,-0.002227454973588667,-0.016076101856852154,0.014323558403153996,0.09697619706614997,-0.0036399510137432828,0.04758883248730947,-0.1237922904710645,-0.21387033857935084,-0.313267226492813,-0.4001488962008324,-0.3531334847897157,-0.2885391942838805,-0.19990848252588223,-0.14193783626561135,-0.13610577386172945,-0.07705796395518745,-0.039218544257046385,0.022866659353590377,0.043157067951684454,0.09512783515737723,0.10977695097431284,0.14189281738073756,0.16333614047238637,0.15190237725205752,0.17981425302589496,0.1900147981114791,0.21590711486242467,0.19910154194827775,0.19453651845925266,0.14549504322034879,0.09032639591003583
1993-04-15,0.20110402588750362,0.1378424893928379,-0.017171062661991046,-0.041991571655939426,0.10610885013600989,-0.0015657438443069452,-0.047517739696706356,-0.11280461796570655,-0.16031515336954016,0.15162944376042278,0.31624424718423444,-0.15170429841750105,-0.22417881374390242,-0.27186796758514037,-0.33795202149942694,-0.2462054292995738,-0.3517969385889112,-0.15585274301234608,-0.1766407499176115,-0.11919184089298372,-0.09410197919276364,0.010214645241240166,0.007647064914624024,0.022126425819250013,-0.01491798168825785,-0.02847384005404342,-0.045866646527131724,-0.0654953635919962,-0.1182411416213328,-0.18025780913224648,-0.19819546396843604,-0.22382318128016016,-0.2375346575155676,0.010185114064060141,-0.07695743149920187,-0.17226115824419047
1993-05-15,-0.054243042606339845,0.1051104430793361,0.10928496357771904,-0.03658699425824566,-0.09077952090565737,-0.04073199527745002,-0.07136215159390566,-0.1528993615480814,-0.13022700119474315,-0.09072312283700655,-0.14416124262077493,-0.35041516492540714,-0.34374643808494554,-0.3208356917774079,-0.28070525173322697,-0.2785627587723564,-0.2648422769199409,-0.160522161202838,-0.036791852323360845,-0.04327735398761329,-0.022256165296600666,0.059512631831779454,0.068514729331156,0.08118191314729152,0.09110510170399998,0.09438913823913465,0.06262068590388657,-0.011303091803338666,-0.051820844878366114,-0.06898714599945001,-0.11650545723770639,-0.16780902355176913,-0.21516307912467947,-0.2905191529698529,0.10664865456935278,
1993-06-15,0.15443878155742574,0.07902217168845957,0.07568138195777327,-0.04113979713487212,-0.10906069349428534,-0.08752890743978779,-0.04506719906505641,-0.047129482894088665,-0.0069749342887768535,-0.1531423900399283,-0.23727381255784652,-0.26261727647277794,-0.32893274826267904,-0.272329434697856,-0.15999758220502905,-0.10832000370911268,-0.007472616598586649,0.03161725963820094,0.08169782064170938,0.0770294310711693,0.04988860289841204,0.084044872973754,0.10799539959439163,0.11102270331895375,0.05755233329622289,0.05510635573502759,0.028003209386139274,0.004651162790697744,0.0027542841297022893,0.007344642145797354,0.005540269551835126,-0.0032419289477238987,-0.031013478329317095,0.028442657316004146,-0.016957526777363747,-0.1598432993241209
1993-07-15,-0.45563746585338477,-0.34844381647631373,-0.2537228455595802,-0.11295879090348855,-0.16426756114375074,-0.13801781298553514,-0.1402255335357055,-0.1722401836175621,-0.18824293343581466,-0.22767391098035494,-0.20696476104422581,-0.08074277409979011,-0.0705810113347825,-0.25381248234961873,-0.06471201978874788,-0.08956828184409385,-0.15846274330028842,0.014284557937025287,0.02325067358737193,0.012039241046244481,0.0037813551797639938,-0.007309492805230142,0.006028684967258317,0.012241806746306266,0.07479583819432865,0.10738158358490264,0.09811555080805778,0.06758201410591408,0.05762581066441079,0.07706145945769136,0.04708216873035156,0.061548132848034,0.06419953658081894,0.014198128428525343,,
1993-08-15,0.08462424785558843,-0.2666043588927776,-0.3224773201628403,-0.28681186107054424,-0.16065346148005097,-0.10362996960123985,-0.3366371133222347,-0.2637576590505641,-0.25767191580280135,-0.038521465274324644,0.3276032577079697,0.07535758208804345,-0.02369113775957869,-0.053329953282874015,-0.10209639706663856,-0.1300860910104969,-0.026474894329032,-0.0703858519527432,-0.058387681568238044,0.0050118248817511285,0.039305548769564,0.1410421424122899,0.18061232844789044,0.15574877276226276,0.19644752490441061,0.1257457279740998,0.08424823603127454,0.10406091370558365,0.1082527695946226,0.08917238580178588,0.1075213834139085,0.04312958939759574,0.1650384909737539,,,
1993-09-15,-0.2299800417105823,0.002869407786115343,0.09917852361177297,0.17175399718826706,0.25029449490851025,0.3062486670931967,0.2544461382113824,0.27489135936054737,0.5177340635594799,0.2480584650921979,0.2814334921739749,0.29621978929973136,0.1744452945677122,-0.0016425641382186848,-0.09286043777807544,-0.054008448989676695,-0.06459113359356335,-0.016976375653309197,0.03505810682342913,0.07815461044036255,-0.010415416325144814,-0.05685323931247258,-0.0013181687594001823,0.15537875883222868,0.1892899617498635,0.2760841043401983,0.266315047517196,0.23094763269884783,0.1716235197721376,0.03397743553984193,0.09855618330194592,,,,,
