,24km,23km,22km,21km,20km,19km,18km,17km,16km,15km,14km,13km,12km,11km,10km,9km,8km,7km,6km,5km,4km,3km,2km,1km,0km,-1km,-2km,-3km,-4km,-5km,-6km,-7km,-8km,-9km,-10km,-11km
1994-03-01,-9999.0,3.949,4.243,4.699,5.3420000000000005,6.246,6.921,7.686,8.455,9.676,10.755999999999998,11.82,13.352,14.534,15.152999999999999,15.667,15.83,14.174000000000001,13.151,10.877,9.171,8.29,7.093999999999999,7.005,5.03,3.5469999999999997,2.801,2.149,2.286,2.478,2.705,3.09,3.306,3.4560000000000004,3.3789999999999996,3.0380000000000003
1994-04-01,5.5120000000000005,6.306,6.303,6.941,7.792999999999999,9.0,10.248,10.812999999999999,11.117,11.83,12.45,13.467,15.187000000000001,16.349,17.145,17.499000000000002,17.602,16.607,14.074000000000002,11.834000000000001,10.713,9.236,7.894,10.554,7.478,2.3890000000000002,2.186,2.291,2.492,2.917,3.415,3.5839999999999996,3.484,3.573,4.426,2.952
1994-05-01,-9999.0,-9999.0,-9999.0,7.296,8.39,9.254,10.216000000000001,10.546,10.949000000000002,12.083,13.095,13.029000000000002,14.104000000000001,15.440999999999999,16.088,15.614,13.755999999999998,12.843,13.692,11.487,8.457,7.841,8.397,9.757,6.051,3.0069999999999997,2.628,2.331,2.7710000000000004,3.3339999999999996,3.6830000000000003,4.666,4.476,4.699,4.545,4.9510000000000005
1994-06-01,-9999.0,-9999.0,6.626,7.688,7.412000000000001,8.798,10.024,10.953,11.56,11.682,12.264000000000001,12.959000000000001,13.179,13.345999999999998,13.549000000000001,13.110999999999999,12.314,12.387,11.095,8.431000000000001,7.622000000000001,6.386,7.314,7.587000000000001,4.677,2.8739999999999997,2.589,2.611,2.9960000000000004,3.205,3.81,3.9360000000000004,3.779,3.7710000000000004,3.946,3.8
1994-07-01,4.106,4.9239999999999995,5.586,6.46,7.205,8.252,9.209,10.013,11.184000000000001,12.119000000000002,12.491,12.255999999999998,11.835,12.873,12.517999999999999,12.669,11.9,10.332,8.802,7.64,6.796,5.776,4.755,4.697,4.734,3.987,3.918,4.37,3.903,3.7310000000000003,3.718,3.758,3.918,4.106,4.928999999999999,5.654
1994-08-01,-9999.0,-9999.0,6.56,6.995,7.311,7.841,8.725,9.705,10.663,11.179,11.554,12.132,12.597999999999999,12.446,11.725,11.694,11.581,10.43,9.399,8.021,7.109,5.999,4.675,3.86,3.367,2.47,2.419,2.495,2.738,3.1039999999999996,3.388,3.576,3.695,3.79,3.7039999999999997,4.1819999999999995
1994-09-01,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1994-10-01,-9999.0,-9999.0,4.803999999999999,5.439,6.251,6.481,6.797999999999999,7.582000000000001,8.533,9.868,10.93,11.752,12.027000000000001,11.944,11.92,11.886,11.497,11.177999999999999,10.532,8.78,6.067,4.761,4.018,3.675,3.148,2.097,1.7109999999999999,1.73,1.9669999999999999,2.12,2.418,2.989,2.924,3.181,3.273,3.678
1994-11-01,-9999.0,-9999.0,-9999.0,3.966,4.423,5.0489999999999995,6.309,6.962999999999999,7.999,9.417,10.411,11.355,12.026,12.059000000000001,12.299000000000001,12.022,11.526,10.262,9.195,7.284,7.117000000000001,7.216,4.825,3.248,2.931,2.136,1.8619999999999999,1.6640000000000001,1.8459999999999999,2.339,2.114,2.37,2.522,2.7430000000000003,2.951,2.785
1994-12-01,-9999.0,3.1719999999999997,3.694,4.321000000000001,5.22,6.287000000000001,7.737,9.309,10.207,10.827,12.017000000000001,13.126,13.728,14.177,14.169,13.593,12.538,9.579,9.372,8.665,8.096,7.39,5.556,4.525,3.5589999999999997,1.716,1.755,1.95,2.099,2.195,2.419,2.73,2.877,2.543,2.65,2.6719999999999997
