date,0km,1km,2km,3km,4km,5km,6km,7km,8km,9km,10km,11km,12km,13km,14km,15km,16km,17km,18km,19km,20km,21km,22km,23km,24km,25km,26km,27km,28km,29km,30km,31km,32km,33km,34km,35km,0km_ds,1km_ds,2km_ds,3km_ds,4km_ds,5km_ds,6km_ds,7km_ds,8km_ds,9km_ds,10km_ds,11km_ds,12km_ds,13km_ds,14km_ds,15km_ds,16km_ds,17km_ds,18km_ds,19km_ds,20km_ds,21km_ds,22km_ds,23km_ds,24km_ds,25km_ds,26km_ds,27km_ds,28km_ds,29km_ds,30km_ds,31km_ds,32km_ds,33km_ds,34km_ds,35km_ds
1969-11-01,3.64,5.166,3.823,3.042,2.912,2.342,2.059,1.974,2.428,2.949,3.595,4.61,5.294,6.379,7.2360000000000015,9.04,10.831,12.084,13.566,14.446,14.11,14.793,14.47,13.77,12.549,11.196,9.86,8.575,7.322999999999999,6.106,4.95,4.1960000000000015,3.451,3.062,2.919,2.54,1.1563125000000003,1.6906041666666667,0.39456250000000015,-0.1592916666666664,-0.017812499999999343,-0.2575833333333333,-0.2773749999999997,-0.19143749999999993,0.26312500000000005,0.5696249999999998,0.7753541666666663,1.2427916666666663,1.3088124999999993,1.73625,1.8358333333333343,2.3984375,2.7781666666666656,2.6330624999999994,2.9496458333333333,2.7927291666666676,1.7841666666666693,2.067874999999999,1.489979166666668,0.921895833333334,0.3541666666666661,0.04572916666666771,-0.10543750000000074,-0.10258333333333347,-0.12263829787234304,-0.1936666666666662,-0.4515652173913054,-0.5000681818181798,-0.5415238095238095,-0.5373636363636365,-0.26855000000000073,-0.34399999999999986
1969-12-01,1.5590000000000002,2.454,2.585,2.492,2.439,2.184,2.042,1.7080000000000002,1.517,1.586,2.426,3.685,4.785,6.107,7.342,9.038,11.659,13.341,13.944,14.375,15.282,15.747,16.037,15.282,13.529000000000002,12.444,10.495,8.949,7.627999999999999,6.5710000000000015,5.806,5.355,4.9,4.251,3.961,3.669,-0.7793913043478264,-0.8736739130434783,-0.718673913043478,-0.561391304347826,-0.34591304347826135,-0.3225434782608696,-0.22113043478260908,-0.4030217391304345,-0.5615869565217388,-0.7102826086956517,-0.3678260869565215,0.11847826086956514,0.24865217391304473,0.7019347826086957,0.9758695652173914,1.5325217391304333,2.990717391304349,3.1047826086956505,2.576173913043478,1.9421304347826123,1.92713043478261,1.837760869565221,2.0129782608695646,1.64145652173913,0.7741086956521723,0.8561956521739109,0.29963043478260687,0.20163043478260967,0.18273913043478096,0.28335555555555825,0.4138666666666664,0.6072790697674426,0.9327249999999996,0.7705937500000002,0.7222,0.5604
1970-01-01,1.0659999999999998,1.751,2.096,2.292,2.146,1.859,1.726,1.58,1.3030000000000002,2.268,3.449,5.381,7.207000000000002,8.774,8.34,9.294,10.939,13.448,14.55,14.952,16.215,16.496,15.297,13.915,12.055,10.63,9.326,8.002,7.287000000000001,7.109,6.127999999999999,5.6110000000000015,4.335,4.584,3.658,2.682,-1.382326086956522,-1.586260869565217,-1.1990652173913037,-0.7646956521739128,-0.612869565217391,-0.6075869565217391,-0.503043478260869,-0.4822608695652173,-0.7887173913043479,-0.24376086956521714,-0.01252173913043464,0.5918260869565222,1.2041739130434816,1.9166086956521742,0.6665652173913026,0.6947608695652185,1.0764565217391304,2.263630434782609,1.9079130434782634,0.8108043478260889,1.0049782608695654,0.8487391304347796,-0.24356521739130343,-0.7980434782608725,-1.4660652173913036,-1.5086739130434772,-1.4646086956521724,-1.3360434782608692,-0.6912666666666674,0.272844444444444,0.27875555555555476,0.5620000000000012,-0.006375000000000242,0.79285294117647,0.35252631578947424,-0.15399999999999991
1970-02-01,1.2,1.859,2.124,2.171,2.141,2.122,2.095,2.256,2.821,5.398,7.654,10.071,12.271,13.209,14.378,13.668,15.251,15.211,16.557000000000002,16.933,19.446,18.521,17.089000000000002,15.544,14.022,12.475,10.974,9.482,7.901,6.917999999999998,5.893,5.461,4.648,4.089,3.788,3.982,-1.453297872340425,-1.7847500000000003,-1.4570624999999997,-1.1556458333333337,-0.8883749999999999,-0.5977916666666672,-0.4002499999999998,-0.12731250000000038,0.29122916666666665,2.146395833333333,2.8678125000000003,3.5069791666666665,4.204750000000002,4.196895833333333,5.014749999999999,3.6197083333333335,4.1608125000000005,2.3563333333333336,2.0289166666666674,1.1995416666666685,2.8896041666666683,1.9271874999999987,1.189425531914896,0.6672340425531917,0.47351063829787243,0.29580851063829705,0.2528510638297874,0.1148723404255314,-0.2006595744680837,-0.20300000000000207,-0.32323404255318966,0.051127659574468076,-0.08653488372093054,0.015461538461538638,0.11374999999999913,0.5821428571428569
1970-03-01,1.93,2.3040000000000003,2.677,2.742,2.7230000000000003,2.587,2.546,3.844,5.188,6.662000000000001,9.586,12.747,13.645,13.704,14.662,12.448,11.102,14.225,16.358,18.406,17.804000000000006,16.896,16.928,15.61,14.063,12.554,11.223,10.034,8.936,8.104,7.2010000000000005,7.164,6.445,5.012,4.694,3.5460000000000003,-1.0223333333333333,-1.5444375000000004,-1.1552500000000006,-0.8379374999999998,-0.5305,-0.38497916666666576,-0.1558541666666673,1.2414375,2.32525,3.033937500000001,4.348729166666667,5.661604166666667,5.076979166666666,4.5493749999999995,5.199250000000001,2.638958333333333,0.1082708333333322,1.8632083333333327,2.256874999999999,2.908833333333332,1.5800000000000054,0.7130833333333335,1.4200624999999985,1.1982083333333318,0.9562291666666667,0.7526250000000001,0.6827708333333327,0.6018333333333334,0.6152916666666659,0.768958333333333,0.731041666666667,1.4824468085106375,1.471866666666668,0.6092432432432435,0.6297499999999996,-0.10699999999999932
1970-04-01,2.135,3.212,3.2310000000000003,2.926,2.7230000000000003,3.089,3.305,3.4960000000000004,4.2810000000000015,7.387,10.4,10.795,10.936,11.48,13.737,13.077,14.932,14.538,16.207,18.699,18.197,17.205,16.282,14.892,13.512,12.191,10.803,9.816,8.853,8.213,7.591,6.814,6.274,5.609,4.862,4.651,-1.2095625,-0.8867708333333328,-0.9187708333333329,-0.9604999999999997,-0.8123749999999994,-0.12497916666666686,0.34731250000000014,0.6460625000000007,1.164583333333335,3.4338749999999996,4.800187500000002,3.215979166666666,1.8914583333333344,2.1576874999999998,4.552625000000001,3.493458333333333,4.126541666666666,2.5469583333333343,2.7250208333333337,3.740208333333337,2.505020833333335,1.5746458333333333,1.2060624999999998,0.7524583333333315,0.46922916666667014,0.24766666666666737,-0.08612499999999912,-0.09016666666666673,-0.09464583333333465,0.12383333333333191,0.3269166666666674,0.29866666666666664,0.4469772727272723,0.4565384615384609,0.25662962962962954,0.477823529411765
1970-05-01,2.515,3.893,4.394,4.259,3.95,3.381,2.97,2.65,2.421,2.301,3.026,7.947999999999999,9.48,10.535,10.244000000000002,11.386,9.684,11.329,13.44,15.286,17.543,17.410999999999998,16.277,15.216,13.197,12.027,10.935,9.755,9.05,7.917999999999998,7.707000000000002,7.06,6.983,6.332999999999998,5.77,5.1770000000000005,-1.1542291666666662,-0.5983958333333339,-0.0019166666666663446,0.17410416666666695,0.1859166666666665,-0.06647916666666642,-0.17183333333333373,-0.3164583333333333,-0.5771875000000004,-1.2088125000000005,-1.818645833333334,1.162729166666666,1.1175000000000015,1.807291666666666,1.6863958333333358,2.6763958333333324,-0.02850000000000108,0.46510416666666465,1.2763541666666658,2.0224791666666633,3.4853333333333314,3.057062499999997,2.1547500000000017,1.7145624999999995,0.46889583333333285,0.018229166666664298,-0.3458958333333335,-0.8201250000000009,-0.7534166666666646,-1.0847291666666683,-0.4614374999999997,-0.2554565217391298,0.5691749999999995,0.6444411764705862,0.7923478260869574,0.5300000000000002
1970-06-01,3.207,4.626,4.708,4.012,3.733,3.647,3.612,3.02,3.475,3.941,4.702,6.178,7.879,7.974,7.734,8.538,9.012,9.634,10.812,11.772,13.582,14.831,15.039,14.254,13.349,12.735,11.825,11.417,10.425,9.607,8.277000000000001,7.7120000000000015,6.77,6.2570000000000014,5.933,5.641,-0.4466250000000005,0.4041250000000005,0.49472916666666666,-0.04420833333333363,-0.11710416666666656,0.059854166666666764,0.2639166666666668,-0.07131249999999945,0.42985416666666687,0.703020833333333,0.6337916666666663,0.6477291666666671,1.0036249999999987,0.7144375000000016,0.6313333333333331,1.0934583333333343,0.688270833333334,0.36558333333333337,0.4636666666666649,0.3141249999999989,0.8331250000000008,1.3801249999999978,1.533479166666666,1.0531875,0.4837708333333328,0.23839583333333358,-0.18481250000000138,0.07372916666666995,-0.07218750000000007,0.0546875,-0.3178125000000005,0.047395833333334636,0.028499999999998415,0.43462500000000137,0.8078148148148152,1.1179047619047608
1970-07-01,2.6830000000000003,3.502,3.593,3.526,3.424,3.135,2.931,3.031,2.885,3.943,4.125,4.694,4.614,5.81,5.903,6.215,6.992000000000001,8.51,10.533,11.705,13.055,14.236,13.951,13.945,13.512,13.126,12.445,11.896,11.075,10.074,9.119,8.049,7.068,6.449,5.547999999999999,4.524,-1.0496666666666656,-0.6928444444444439,-0.4886222222222223,-0.44113333333333316,-0.4110666666666667,-0.4970666666666679,-0.44204444444444446,-0.07842222222222217,-0.0454772727272732,0.7782666666666667,0.40843181818181806,-0.1120000000000001,-1.0774000000000017,0.1163333333333334,0.23488888888888848,-0.034022222222223064,-0.17151111111111028,0.21177272727272722,0.890600000000001,0.8978000000000019,0.8952444444444421,1.3114444444444455,0.9425227272727259,0.816866666666666,0.6825454545454548,0.5105227272727255,0.24736363636363912,0.3699767441860473,0.4746363636363622,0.4686046511627886,0.56146511627907,0.4994285714285711,0.42392682926829295,0.7564857142857138,0.6235238095238085,0.36435714285714216
1970-08-01,2.862,4.4430000000000005,4.297,3.816,3.587,3.244,2.983,2.657,2.1,1.948,2.428,3.547,4.1789999999999985,4.401,4.63,5.584,6.542999999999998,8.076,10.476,11.244000000000002,12.403,12.781,12.44,12.205,12.345999999999998,12.458,12.558,11.955,11.126,9.93,8.75,7.855,6.87,6.0,5.3,4.561,-0.8493191489361704,0.2513617021276593,0.3272127659574462,0.030170212765957327,-0.03444680851063886,-0.17117021276595734,-0.15370212765957447,-0.171553191489362,-0.5619999999999998,-0.7400851063829785,-0.585340425531915,-0.05827659574468136,0.0007446808510618297,-0.14512765957446838,-0.2037659574468096,0.033510638297871154,-0.20906382978723492,0.02823404255319062,1.1362553191489386,0.7486382978723451,0.8263829787234052,0.6559787234042567,0.0975319148936169,-0.11095744680850927,0.0885957446808483,0.2533043478260879,0.6811521739130448,0.7499782608695664,0.854499999999998,0.6351739130434773,0.4724130434782605,0.564422222222225,0.580837837837838,0.44764516129032206,0.3806086956521728,0.2860624999999999
