date,0.0km_ds,0.5km_ds,1.0km_ds,1.5km_ds,2.0km_ds,2.5km_ds,3.0km_ds,3.5km_ds,4.0km_ds,4.5km_ds,5.0km_ds,5.5km_ds,6.0km_ds,6.5km_ds,7.0km_ds,7.5km_ds,8.0km_ds,8.5km_ds,9.0km_ds,9.5km_ds,10.0km_ds,10.5km_ds,11.0km_ds,11.5km_ds,12.0km_ds,12.5km_ds,13.0km_ds,13.5km_ds,14.0km_ds,14.5km_ds,15.0km_ds,15.5km_ds,16.0km_ds,16.5km_ds,17.0km_ds,17.5km_ds,18.0km_ds,18.5km_ds,19.0km_ds,19.5km_ds,20.0km_ds,20.5km_ds,21.0km_ds,21.5km_ds,22.0km_ds,22.5km_ds,23.0km_ds,23.5km_ds,24.0km_ds,24.5km_ds,25.0km_ds,25.5km_ds,26.0km_ds,26.5km_ds,27.0km_ds,27.5km_ds,28.0km_ds,28.5km_ds,29.0km_ds,29.5km_ds,30.0km_ds,30.5km_ds,31.0km_ds,31.5km_ds,32.0km_ds,32.5km_ds,33.0km_ds,33.5km_ds,34.0km_ds,34.5km_ds,35.0km_ds
1992-11-01,0.3547075171151629,-0.024636802365664633,0.03775293148930335,0.06166657667649496,0.07224034794651393,0.10104986876640447,0.08032805285138954,0.10934285243223972,0.1569615370707425,0.1576117579724655,0.16063737998910663,0.20502938126512257,0.09741582992985928,0.3724466444971414,0.9369336421369926,0.6924302653612323,0.366028960414554,0.2934497080859924,0.4168849828838445,0.6168914807799881,0.8717705650696944,1.0110800676077512,0.7274120129345447,0.7587153576682545,0.8313444803607842,1.0785532996916407,1.1459004834810635,0.41273810667046046,0.03671789395459526,-0.1606597331207386,0.13279630084741909,0.5343931095382246,0.4473827268000484,0.28864373286864,-0.020677339116015016,-0.13744083129432727,-0.07402860301758653,-0.036461155935420576,-0.091653203832016,-0.05940231113914504,-0.006010233763718761,-0.007767855672552925,-0.037935428401597186,-0.09891639899998064,-0.14526340180445832,-0.1498200599605448,-0.1422274919684744,-0.050460742578973455,0.058101388534130965,,0.08583182098288958,0.004087105925470408,0.06877573240640167,0.09031991060228875,0.14012006395618617,0.18839720660043574,0.21910585503369237,0.3033578572071041,0.28654478906033576,0.24346516034289967,0.24932512839993504,0.27254799907362887,0.2841509823992452,0.27268226628253617,0.2779740632447322,0.3237177378093142,0.3413537508422771,,,,
1992-12-01,-0.2874120593028339,-0.0701021132266097,-0.03892235670977622,-0.02311729097608506,0.04632790032003286,0.06720263577467478,0.06175662949351725,0.06580270516887139,0.08755041008270817,0.10508249700259857,0.05796175719113137,0.01395678772489456,0.030433064280967217,0.007523746416832065,0.0056721137748517985,-0.09425085999061096,-0.14328529082549735,0.13304544128995335,-0.01561443320659455,-0.07802544432189228,-0.13554224134187406,-0.1259128063033258,-0.11143163666147217,-0.20648211998817853,-0.1345812286133291,-0.10099762912204421,-0.05111435316597348,-0.01299885564956218,-0.08966539109341261,-0.14874587676520828,-0.42857496008471946,-0.39570004190601127,-0.27591256699091943,-0.29481292842316686,-0.23628407245759298,-0.11987066001691533,-0.10460628474197055,-0.07839633873767961,-0.12528741829814724,-0.11327480615282105,-0.11888834972661154,-0.10208481034836352,-0.10283390415735179,-0.10625449031048351,-0.02643712792360962,-0.009960762664961325,-0.02634869160176495,0.003900230858800162,0.013648628721098835,0.006708436709558154,0.008982735699762118,0.04161270832598853,0.1081468768553021,0.13907010047741328,0.16111795574094634,0.23418124942830856,0.29101751975793083,0.2453575677706167,0.1922648006049731,0.19800377999266797,0.19889524926644908,0.19771560686376807,0.25218331703616065,0.25366806009330717,0.27898021189239297,0.2763616830577555,,,,,
1993-01-01,-0.34194205713324055,-0.10297336592692018,-0.06599736879079335,-0.024995843162047424,-0.01855308553217031,-0.02014760913182862,-0.03856687766331551,-0.05153216324541567,-0.0536460160443406,-0.06499925304482507,-0.056122838062243864,-0.05604612128730944,-0.07919392234253886,-0.08530179775184199,-0.104899386011856,-0.1421221742443484,-0.18494570010882458,-0.34513630102297205,-0.43742752025727755,-0.5169580519742054,-0.601249856867683,-0.6644091213362263,-0.6647379507294713,-0.6408399563263336,-0.5415722516910992,-0.5769538690012841,-0.6131375789745737,-0.598142533732257,-0.6152109469134314,-0.6239158255021559,-0.41013342910459477,-0.4526780392588536,-0.4976824716266516,-0.38656276538003526,-0.3158626577778639,-0.31391793129676865,-0.28054350889778074,-0.3693366188317505,-0.3740472478074946,-0.2964838813829979,-0.20467563760705812,-0.15193089880140548,-0.14951290958874916,-0.15698295797282594,-0.12089325208759805,-0.08952925203957632,-0.045264723875096155,-0.0011636588241427921,0.00916912729730728,0.0650844496828229,0.10954626037212423,0.12826607838676649,0.1627916285611674,0.17346422459594524,0.165154938400498,0.15722060195653045,0.1624284956614675,0.16711253245698673,0.14645087437113283,0.16593794734188375,0.17638189957559136,0.14266401892028882,0.1482314032754061,0.175449268416263,0.18230220414472478,0.22669520939325213,0.21043099463814532,0.2255453755601168,,,
1993-02-01,-0.6501098380961651,-0.20175042649574426,-0.020468834591217337,0.011556918284052002,0.014798287685271357,0.017364766586074713,0.057985799849272164,0.11026652494972254,0.1227283944523963,0.09582164276637022,0.12016756613956275,0.18046615458015974,0.1300044637277484,0.05610740775514049,0.021784647234573067,0.07189962718523579,0.049423393739703364,-0.3053198526572401,-0.3925651401907751,-0.5225059490039116,-0.6699887085793665,-0.6708311904018408,-0.7216713402809749,-0.6961415219262189,-0.5507842882577414,-0.49744846346880534,-0.6061737130554877,-0.6169655223397064,-0.5665558650222032,-0.4391381622512409,-0.2853339103031582,-0.24748005798509298,-0.17087340708621376,-0.394388276814241,-0.2821739348633995,-0.11590909711742427,-0.11474116968289201,-0.17152346558970613,-0.1989301640096695,-0.23522144796292055,-0.18846420463220762,-0.21440563094982631,-0.13867463193516155,-0.0687522875349491,-0.016268748834569732,-0.01723351310142775,0.007885765141026365,0.034961455248286095,0.06343467804155271,0.11403415685813303,0.11758683331912106,0.08687869698616585,0.06152822910392402,0.06921344965439129,0.08258373389889288,0.05490307307887759,0.030677925434877146,0.044878012672712575,0.05725872658966268,0.06218552015744559,0.08962836017641318,0.13054024210581505,0.17953352871867356,0.17569180420062921,0.2239314034715619,0.2535193313827216,0.24854735577858617,0.2501487285068838,0.31049646432000455,0.25139544051626317,
1993-03-01,-0.20120841272872375,-0.15957257819152304,-0.08883259613743551,-0.07569110046591412,-0.046099100947826634,-0.019392943747730942,0.00454015950297183,0.02160155732157415,0.010266669325772167,0.019859539120453015,0.04647646054339336,0.027620507981442024,0.006585120782574692,0.03149123592375942,-0.036253542502284145,-0.08959425713372357,-0.11172049226152879,-0.1427174987120928,-0.06370986633350602,-0.09394383741844095,-0.11309830658293478,-0.1720713759336026,-0.25910465745543815,-0.29750439053895733,-0.2711265446491522,-0.3831136496250152,-0.46710220021503074,-0.35171124439669094,-0.3543405606468167,-0.39294487743585566,-0.35955837864856777,-0.376266424110258,-0.3425639011197743,-0.26749149979002895,-0.21102896870579121,-0.20798840483674527,-0.2007381104714819,-0.18467331009436264,-0.19912315791023125,-0.16017461632795882,-0.10323426167948234,-0.05387276325448298,-0.03455204764846678,-0.042053682766107055,-0.007787161360376055,0.02779409325549129,0.06858404990599314,0.06267452410064957,0.06930037933329866,0.042051279196312366,0.05957623204359791,0.09996734961277373,0.14385096429966077,0.1680363306154512,0.19277823190181131,0.25080020608411224,0.22552669735768965,0.1635717709938,0.16739300037108765,0.1665253207231493,0.17480269227613277,0.2137766736495001,0.22172646807457763,0.22081660350767346,0.2285802439245099,0.19843776549293596,0.19081845821472604,0.15388527564217183,0.2170309638543265,,
1993-04-01,-0.02922136954526734,0.003262894496070137,0.020750412988230625,0.07176465538549442,0.0576026657493951,0.07512161909138879,0.028510811303385012,0.05336045023041994,0.09007966880044509,0.03144488452489818,-0.009695932148657488,-0.0894127558208782,-0.15621825162764735,-0.19304020360311677,-0.2408789178488947,-0.31009805774109384,-0.3712735324797546,-0.3287476732168834,-0.09334256697264495,-0.02123600937656781,0.09602737374426429,-0.01279033157189071,-0.07583697634399825,-0.11115259717986219,-0.21369072363044836,-0.22331364896649042,-0.2040403442923721,-0.19629027860063447,-0.2874579664209328,-0.18094390582878642,-0.0338913573123545,-0.06519493988138327,-0.17117188142385373,-0.21623580280153618,-0.21843486566872625,-0.2784127383893018,-0.22263783132964388,-0.05531403097707277,0.04701426604144256,0.0037904945514638734,-0.03260033766277184,-0.03724296707297524,0.021523559157760334,-0.0011659293181179122,-0.00530960384711157,0.006826653549953321,0.030165511180527103,0.003177499218894054,-0.015482672258693894,-0.04169176692212201,-0.05795349112984438,-0.09088232247431742,-0.10048576750661307,-0.09939442946804314,-0.09683012414284906,-0.07054219924088968,-0.08135516285763768,-0.12342912311201745,-0.12477407318801259,-0.15265800556325534,-0.18314478856168814,-0.180938178303978,-0.24203951952825734,-0.24091184550742173,-0.26780516312079444,-0.2568306105325716,-0.06762057853204488,-0.058366530613085235,-0.042805246154560266,-0.06868958688857388,
1993-05-01,-0.061700525262486795,-0.05899655976919881,0.08020896352725058,0.1471708602162317,0.1113942880674223,0.07435243108844464,0.004710837922588455,-0.06771589052499177,-0.0856226732645553,-0.07494580615937833,-0.03789132249185992,-0.008303031394009069,-0.027661217789041778,-0.07324392967907152,-0.14104878331965556,-0.1908441625655165,-0.24019706480467454,-0.2838905891721274,-0.35337604699284375,-0.3758793574233955,-0.44355040339383117,-0.47468371989790253,-0.41738833485751503,-0.372740833077198,-0.34021947769206656,-0.3191875064046937,-0.3421352611291715,-0.3412369454181693,-0.2579489442199786,-0.23814675759607723,-0.25644498695658186,-0.205956580918375,-0.20874961460583066,-0.2676504282647633,-0.23660384038226023,-0.14830612073868885,-0.09425959461010666,-0.023954878815805866,-0.04046210705622508,-0.08572552188348645,-0.05454166866393529,-0.016909194223908255,0.012375985531347,0.0495097501860811,0.0726384362456758,0.0843219978293447,0.09555386383437027,0.09579053132608988,0.10459410961880047,0.11091134704708577,0.1271756125711578,0.12286216265855773,0.105149380005892,0.08586575740154798,0.05278264419783406,0.029213844086703036,-0.003924022150347142,-0.020980058896463108,-0.021690133307749725,-0.025123686960540702,-0.0981103937616988,-0.07571940456335234,-0.08218144005586717,-0.07964284635276532,-0.07060600759999651,-0.11629343868832065,-0.13158801729941763,-0.23105109342559094,-0.37613458953072093,,
1993-06-01,0.21756025195691595,0.31861002442233105,0.3248899352907111,0.12730200335369624,0.07516936300544398,0.027855065323172216,0.0698396314387492,0.020406860789788536,-0.04032067881187056,-0.06977816339956887,-0.08791570519427845,-0.05962300390892531,-0.04470873003065998,-0.06011208288398349,-0.013042026456653118,0.1035806645993148,-0.04556376473672859,-0.05521036006756545,-0.1951121050116359,-0.22890067370241113,-0.3265195838488802,-0.4190168704305797,-0.5303805614043723,-0.43722250244765715,-0.403788029552974,-0.3593416363710437,-0.2628176504948088,-0.22783344439234268,-0.26254168416106516,-0.2757691456489176,-0.15115727888778846,-0.12336759334486962,-0.12555609126508996,-0.13323635214982935,-0.054103129723233084,0.015155039209290296,0.028874882569168477,0.040780681250923996,0.06666535842506366,0.021569531611841202,-0.030473033997859708,-0.005263607301866586,0.040079652227116916,0.059931134466084904,0.077562369139521,0.09174423109200194,0.1138947825509066,0.11453319262951416,0.12758565279932785,0.13230965816628545,0.11285397746352142,0.11120822639921031,0.08084355785677297,0.05877648751114059,0.057826234128993785,0.035349376416125226,0.029956112389185035,0.04367306173749476,0.059415183860795445,0.07127152920482988,0.08541998584959658,0.09412897730558574,0.0860849652319194,0.09710129247273495,0.09437160669705713,0.0928295591185994,0.12457989360431718,0.14489317590716774,0.1807912676714547,0.14423036656087862,0.17511934176629768
1993-07-01,-0.5155396416968572,-0.47256827127070633,-0.42720012342435076,-0.34674380974558305,-0.22338947550745192,-0.1828457404867353,-0.20782308093005641,-0.15469478154878502,-0.17136370762460842,-0.19401294118388293,-0.23399865343266077,-0.19254169776327384,-0.18521642886160333,-0.18122343708645772,-0.08118361978576737,-0.08380788780120502,-0.19127959751225784,-0.18711549185392842,-0.1526597010843416,-0.09491007683436976,-0.024276196080954254,0.05996841712619096,0.020958111542133173,-0.1599416447810896,-0.39361376607770243,-0.3294170635494405,0.03553819817084341,-0.034607144653927155,-0.014710941976146441,-0.06007108880951393,-0.11362009527858556,-0.004359915777170903,-0.01608478906799141,0.05301123735872699,0.06508094350683848,0.06734860923479967,0.12176197966488517,0.16657323216312608,0.1483135165523511,0.039966688641479675,0.008854223097577343,0.006579921138305089,0.02571461882414063,0.03679662729411271,0.02048145532819387,0.043320206620376424,0.09039781276814213,0.09988803171844289,0.11765717254728428,0.048357944654170516,0.03502749273223072,0.03977717053654705,0.0438123581992977,0.014533532894764566,0.012675678578862652,0.0221221421314648,0.03536507633252609,0.037082290777496904,0.03328536409425574,0.04299181951188171,0.03603452012554923,0.04069162662575463,0.04121013807492482,0.053307958357955806,0.048937747725437075,0.047275840970481584,0.042476772442081985,,,,
1993-08-01,-0.33945249461008337,-0.407187592512821,-0.3675685267245996,-0.20217219160124467,-0.205816059386177,-0.2824791090584223,-0.19803745370722609,-0.10548200267350401,-0.14433236826645304,-0.19828706495028853,-0.21561908483929604,-0.22535695494463762,-0.06620218459452797,-0.15102688647492837,-0.23099486678073816,-0.255865550712397,-0.1005106607157947,0.2663042196381818,0.45650352323595034,0.5221629402705563,0.5337229932364889,0.25905435244310454,0.0013027610114606201,-0.05420128872537166,-0.032861363933747854,0.05912465577360567,0.0602439140573861,0.08896451940948831,-0.07884846777740427,-0.14289461741511514,-0.10939342954525418,-0.1970591414160699,-0.2185162322021389,-0.12719590861637184,-0.06983202422573992,0.06934797547428206,0.08415051948309692,0.06526555701311736,0.06794817653772645,0.06031622896343688,0.0556671754509179,0.09992032033649487,0.10679384866884052,0.09746671382313854,0.13377977878881886,0.20149988321394616,0.24333671102196033,0.22965979079480492,0.17654994684650688,0.14144965733573434,0.13113827101300687,0.1321223533098701,0.13569599526339643,0.1239387308420885,0.111273988674884,0.10220815888494483,0.07742444354329656,0.08561876657691907,0.11335514690382484,0.10103995243494365,0.09476353395259242,0.07955712332705166,0.07971141199921347,0.0525429116611752,-0.06307603697168378,-0.09514869029364052,-0.08879553135906924,,,,
