date,0.0km_ds,0.5km_ds,1.0km_ds,1.5km_ds,2.0km_ds,2.5km_ds,3.0km_ds,3.5km_ds,4.0km_ds,4.5km_ds,5.0km_ds,5.5km_ds,6.0km_ds,6.5km_ds,7.0km_ds,7.5km_ds,8.0km_ds,8.5km_ds,9.0km_ds,9.5km_ds,10.0km_ds,10.5km_ds,11.0km_ds
1994-08-01,-0.4201378040580068,-0.32044798896758725,-0.26558638455700084,-0.2506042765023612,-0.1314469446476121,-0.005418789480821257,0.0069746508816897,-0.003235607979863071,-0.012318984405708283,-0.056465631714913506,-0.01986579383343057,-0.08194933535511101,-0.08931284210038051,-0.09503422151795525,-0.02975452081154334,-0.04351427237222511,0.024565643848356092,0.040689940185946676,-0.08178409841505149,-0.02673630510921368,-0.07345967055194445,-0.00939709484757357,0.089087632063537
1994-09-01,-0.046366864611620054,-0.10937034219306958,-0.07521824603012439,-0.04248324880613038,-0.018072100861040236,-0.04852965428191491,-0.04399068019342248,-0.0054264806436126085,0.004994661094370697,-0.015586128867849281,-0.06810890345491814,-0.055119620144211005,-0.06803184015706988,-0.03977587766655949,-0.04513839050551692,-0.017202112911013596,0.009416375320877536,-0.058675008208341775,-0.13709980906979688,-0.07472559112433987,-0.33522001755636943,0.09382665491030212,0.16406729051694263
1994-10-01,-0.276442020355851,-0.10717294217400557,-0.09903099809629293,-0.13505082557951917,-0.17472680617842656,-0.09438318092164258,-0.06857600293017882,-0.07423512668594204,-0.03350037943069099,-0.06345338766149983,-0.06743570701163788,-0.08094284638106387,-0.09170741442969788,-0.10282973763894332,-0.08468478441357144,-0.1343665044331883,-0.09202590009011644,-0.1906456486931424,-0.16488423454976228,-0.1729716899206854,0.18291429761344272,0.057755052552372975,0.19177894122291383
1994-11-01,-0.5973572612303796,-0.28906665688127264,-0.21531908382043147,-0.08822392736766392,-0.1631816852947128,-0.056855801432531536,-0.13599576653801085,-0.08147332711771116,-0.05712737519691719,-0.05177064422932343,-0.07538308147009212,-0.06846873867943268,-0.14536703682797988,-0.1195037552668841,-0.1449843916212302,-0.1282988317242601,-0.22269120044995583,-0.26543626141455945,-0.3698062986806791,-0.3860368647655983,-0.43142465270022545,-0.45511458589175696,-0.2263336434519632
1994-12-01,-0.29302129531209914,-0.08700252955344823,-0.07712236497785445,-0.04842743396459852,-0.03253541873492467,-0.05942537514859513,-0.04743941065518356,-0.05686524320628333,-0.08202468928451467,-0.059184031001408954,-0.0911081271339659,-0.11700998564176036,-0.14991495423155282,-0.151100122937209,-0.17176470588235285,-0.16164367624911247,-0.14816186194128528,-0.183062781926969,-0.18815451824842613,-0.3060916182594802,-0.37666189641439185,-0.22840698734066048,-0.17225206805259882
1995-01-01,-0.24333342302828087,-0.11669218259476138,-0.15328501728956448,-0.14140439040309655,-0.1466413697908527,-0.12449347993486248,-0.10520321304399963,-0.09868432362140159,-0.1033865986195626,-0.09994644410775708,-0.07634418602810383,-0.0741027291680201,-0.10472210843621425,-0.08249151987976695,-0.11406337543640657,-0.0784239791574605,-0.03353366605807413,-0.1677627863323108,0.012143720859698875,0.16558459429983138,0.07380185083231372,0.16238137134215652,0.23348494507439396
1995-02-01,-0.23428752161608193,-0.16593270857388343,-0.14516223940335488,-0.13629857642383786,-0.12740404635355562,-0.10733468276897962,-0.0933244169776783,-0.09773785303583375,-0.09169522093619123,-0.09226958406440264,-0.07935084416651195,-0.07964272456309172,-0.07279482945893698,-0.11016214273231642,-0.0534202152124224,-0.1267362207663201,-0.01074523446626879,0.06260667550185896,0.18306946746659378,0.24925004960618913,0.5516020558541819,0.7595243456818774,0.16362402160670225
1995-03-01,-0.07211997583332781,-0.12568497654640295,-0.12960284163140884,-0.1541804528970176,-0.13412590169577326,-0.13375959897921275,-0.15076961017187315,-0.18110898556561372,-0.14466575444256133,-0.13408928119621283,-0.08883850502087035,-0.12167503219194288,-0.09523497228338658,-0.041534813692874845,0.08965898744611192,0.20840913143601472,0.43107650432905226,0.5555099810811679,0.6214762529765032,0.7633301668594086,0.48285980148501834,0.29345645002612514,0.3090005483696549
1995-04-01,-0.2642231585131599,-0.2538219353604688,-0.17040702126406318,-0.07970288458536366,-0.07425721183708096,-0.05900446269268225,-0.053053929565300854,-0.06804084604615344,-0.07827962654986763,-0.06359343069331601,-0.06900572299230744,-0.09774822696374183,-0.1302286966027172,-0.16004718277165636,-0.12529246873140146,-0.16599113838888802,-0.23363702465268404,-0.2800044969505056,-0.4367716340193406,-0.3074193951055911,-0.35834343392878626,-0.3430355729442494,-0.42140990480154383
1995-05-01,-0.12356963838644414,0.046615067464270174,0.09259533866055984,-0.007204881636757545,0.016612610192624742,-0.06963740641473057,-0.03977175839005185,-0.015918737086382702,-0.01827893460302834,-0.02111970523960183,-0.07391399079231252,-0.09185240462299409,-0.09395676121973082,-0.1329010077748588,-0.09869681870448448,-0.15504574182703978,-0.12035212017898989,-0.11843773053251307,0.06719021157992515,-0.1601627329366327,-0.15751662424997975,-0.21801625896453472,-0.03224276849475672
