,linear_pre,linear_post,post_const,pre_const,gap_const,enso,qboA,qboB,solar
1978-12,-1.8086613688166082,0.0,0.0,1.0,0.0,0.406,-0.927550975448432,-0.9606101219673998,1.0748350002057176
1979-01,-1.800173857094944,0.0,0.0,1.0,0.0,0.608,-1.0260023646158773,-0.9516880523088983,1.648810464296617
1979-02,-1.7916863453732794,0.0,0.0,1.0,0.0,0.379,-1.0570698152065194,-1.0539197713434987,1.7055526780956334
1979-03,-1.7840202057537116,0.0,0.0,1.0,0.0,0.002,-1.1845748735438346,-0.6894141867937384,1.3776965663579692
1979-04,-1.7755326940320473,0.0,0.0,1.0,0.0,0.301,-1.1776809379850544,-0.42954139965014204,1.1819379267166368
1979-05,-1.7673189730110817,0.0,0.0,1.0,0.0,0.374,-1.2488335521446907,0.027131781685586453,1.0497305665302015
1979-06,-1.7588314612894174,0.0,0.0,1.0,0.0,0.429,-1.002970970187582,0.6121881249455378,1.421045419938615
1979-07,-1.7506177402684517,0.0,0.0,1.0,0.0,0.396,-0.8217770247045042,0.9775960299937558,1.1049043775886471
1979-08,-1.7421302285467875,0.0,0.0,1.0,0.0,0.615,-0.596113490474806,1.2463974283691035,1.2251818871203657
1979-09,-1.733642716825123,0.0,0.0,1.0,0.0,0.759,-0.3059962058456113,1.5012904654853887,1.774178789348048
1979-10,-1.7254289958041575,0.0,0.0,1.0,0.0,0.655,0.17834073036690162,1.729394125582155,2.080830495626241
1979-11,-1.716941484082493,0.0,0.0,1.0,0.0,0.7340000000000001,0.779975942362963,1.7828233061176781,2.3056492071926122
1979-12,-1.7087277630615276,0.0,0.0,1.0,0.0,1.004,0.9797617818297055,1.4099251601927132,1.663915081772693
1980-01,-1.7002402513398631,0.0,0.0,1.0,0.0,0.677,1.2062702119749305,0.8036257890525956,1.7150330233236726
1980-02,-1.6917527396181988,0.0,0.0,1.0,0.0,0.601,1.123188025846196,0.668480172311883,1.61778378596573
1980-03,-1.683812809297932,0.0,0.0,1.0,0.0,0.684,1.1936408539077197,0.4873378548377396,0.9976336219946618
1980-04,-1.6753252975762678,0.0,0.0,1.0,0.0,0.912,1.3063733553354384,0.2322213761343767,1.9272971870927984
1980-05,-1.6671115765553022,0.0,0.0,1.0,0.0,0.958,1.3365871853561284,-0.17940207081057039,2.356279978210801
