,0km,1km,2km,3km,4km,5km,6km,7km,8km,9km,10km,11km
2017-06-01,4.066,4.051,3.843,3.302,3.327,3.016,2.9160000000000004,2.878,2.779,2.634,3.713,5.768
2017-07-01,4.129,4.164,3.545,3.2260000000000004,3.2569999999999997,3.0460000000000003,2.98,2.983,3.7110000000000003,4.221,4.07,4.9639999999999995
2017-08-01,3.688,3.839,3.463,3.464,3.39,3.236,2.843,2.6510000000000002,2.407,2.605,4.382,2.6039999999999996
2017-09-01,2.9930000000000003,3.722,3.637,3.306,3.133,2.972,2.7439999999999998,2.333,2.397,2.7939999999999996,4.986000000000001,3.7689999999999997
2017-10-01,2.82,3.5260000000000002,3.3280000000000003,3.286,3.023,3.1310000000000002,2.376,2.0540000000000003,1.966,1.889,2.14,1.969
2017-11-01,2.535,3.4360000000000004,3.307,2.92,2.6069999999999998,2.28,2.025,1.7630000000000001,1.4669999999999999,1.7009999999999998,1.7169999999999999,1.716
2017-12-01,2.028,3.125,3.176,2.952,2.622,2.1790000000000003,1.831,1.6569999999999998,1.469,1.2570000000000001,1.4669999999999999,0.991
2018-01-01,2.7460000000000004,3.1489999999999996,3.1439999999999997,3.08,2.59,2.198,1.954,2.249,2.747,4.18,3.648,5.145
2018-02-01,2.39,2.9160000000000004,2.906,2.7769999999999997,2.8110000000000004,2.7430000000000003,2.325,4.223,-9999.0,5.981,8.019,10.811
2018-03-01,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2018-04-01,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2018-05-01,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2018-06-01,3.7680000000000002,3.477,3.319,3.6710000000000003,2.595,3.65,2.359,4.115,3.5780000000000003,2.8939999999999997,4.755,-9999.0
2018-07-01,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2018-08-01,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2018-09-01,4.848,4.527,2.9989999999999997,3.0580000000000003,2.9610000000000003,2.7289999999999996,2.245,2.2359999999999998,1.64,1.4240000000000002,1.171,2.186
2018-10-01,3.466,3.883,3.502,3.04,3.423,3.237,2.376,2.411,2.5860000000000003,2.862,3.326,2.497
2018-11-01,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
