date,925hPa,850hPa,700hPa,500hPa,400hPa,300hPa,250hPa,200hPa,150hPa,100hPa,50hPa,30hPa,20hPa,10hPa,925hPa_ds,850hPa_ds,700hPa_ds,500hPa_ds,400hPa_ds,300hPa_ds,250hPa_ds,200hPa_ds,150hPa_ds,100hPa_ds,50hPa_ds,30hPa_ds,20hPa_ds,10hPa_ds
1969-11-01,3.604,5.097,3.76,2.366,1.94,2.517,3.209,4.613,6.104,9.916,14.142,13.927,10.52,5.12,0.2505295116926301,0.45854298318826764,0.1266198906339734,-0.0810832679283755,-0.10952157822764962,0.1624635575526069,0.2518855656697011,0.3620225133788524,0.3431928520017787,0.34804576866432546,0.15031137998525698,0.08289501606128402,-0.008383261754534974,-0.08092401243086168
1969-12-01,1.5530000000000002,2.353,2.379,2.18,1.805,1.39,1.774,3.84,5.6370000000000005,10.206,14.922,15.824000000000002,12.307,6.087999999999999,-0.4368042635047774,-0.2945631346376943,-0.25225994684085745,-0.12361809045226117,-0.14436463689856674,-0.32433003635133995,-0.2793394268556541,0.09478329315078647,0.07548226276736499,0.2906627665306751,0.13642113070601225,0.14862084201224518,0.1009441575994479,0.05442538018697768
1970-01-01,1.094,1.777,2.169,1.7480000000000002,1.6030000000000002,1.4680000000000002,2.729,5.172999999999999,8.22,9.196,15.383,14.118,9.905,6.336,-0.6218202586627989,-0.47016081463860476,-0.32107594635238407,-0.2938862251260165,-0.23022799398697188,-0.28988905831011086,-0.04357962424002311,0.08138641847952045,0.23742918947929903,0.024782817246709048,0.02004725310684127,-0.04779583183045804,-0.15825780444638243,0.0715333512255562
1970-02-01,1.171,1.858,2.173,2.026,2.343,2.7310000000000003,6.299,10.289,12.625,13.169,19.273,15.598,11.383,6.101,-0.6230737248695699,-0.4936582374782836,-0.3766084737354842,-0.2514778325123153,-0.015666847550195293,0.06614615103086491,0.6661449952608727,0.5874871023423114,0.4291509051289065,0.27244654960353815,0.16403205572633106,0.035035065479062426,0.0014881899491955388,-0.02691742540187812
1970-03-01,2.048,2.133,2.665,2.557,2.634,5.043,7.584,12.895,13.789,10.895,18.526,15.467,11.478,6.744,-0.3735366654133661,-0.44875708678587006,-0.2853990581479144,-0.13497970230040596,0.026775490315507466,0.7354497354497355,0.7502043328172927,0.776359404551103,0.5131581053059937,0.06156535013021919,0.14086453157414638,0.07677201613382788,0.04690656121795537,0.07300612886866176
1970-04-01,2.543,3.322,3.13,2.879,3.576,4.402,7.894,10.245,10.974,13.362,18.309,14.53,10.878,7.376,-0.281431203678085,-0.19714820856745824,-0.22543126114886114,-0.09691416920442802,0.27418492784607174,0.383986585621463,0.6603072500854444,0.2900788591396324,0.1811960138850271,0.3090989249638219,0.1618998512642539,0.049315291080278344,-0.012702746652245852,0.06515519373268251
1970-05-01,2.8280000000000003,3.749,4.222,3.298,2.755,2.218,2.498,8.008,10.932,9.891,17.592,15.056,10.889,7.034,-0.27932596080846467,-0.17349708580010742,-0.001950239347556155,-0.03289775122335664,-0.06741232307703166,-0.2746349805481934,-0.4227252812856571,0.08263459561464044,0.2575454741534259,0.05424814250629535,0.2380685675243349,0.14364205482356884,-0.026842850998624223,-0.07912099301496563
1970-06-01,3.593,5.282,4.258,3.657,2.977,3.645,4.413,6.957999999999998,7.492000000000001,8.43,15.065,13.767,12.48,7.8679999999999986,-0.07315788625139055,0.23128326663817558,0.029414134902087066,0.02917448405253287,-0.03901221947988192,0.21970943364657966,0.16060949750973902,0.11027485605627406,0.03986652362872986,0.023234172541800314,0.1414788458927787,0.06284258472940647,0.05951831393960625,0.04026773540470182
1970-07-01,2.992,3.495,3.589,3.082,2.922,3.306,3.717,4.806,6.527,7.249,13.887,13.395,11.882,7.435,-0.23951967285338271,-0.17077478712466718,-0.10411870753016207,-0.1433759720326368,-0.06434787558794026,0.12020541240606622,0.03692935254296114,-0.11752104492167573,0.15988358317405663,0.0033434014726960886,0.09645559803558636,0.03216487925327609,-0.014813995909568138,-0.005294985075336719
1970-08-01,3.792,4.422,4.047,3.149,2.813,2.044,2.329,3.729,4.481,6.5710000000000015,12.88,12.398,12.209,7.763,-0.051727623891969055,0.05487176624048983,0.05489989462592188,-0.06260767126064046,-0.01674078921925878,-0.2053731688958369,-0.20477875206137258,-0.03681008567769987,-0.030068712696190356,-0.027499448940390667,0.07953491689849493,0.008414035622070833,0.049277051933808956,0.07605986916051193
