date,24km,23km,22km,21km,20km,19km,18km,17km,16km,15km,14km,13km,12km,11km,10km,9km,8km,7km,6km,5km,4km,3km,2km,1km,0km,-1km,-2km,-3km,-4km,-5km,-6km,-7km,-8km,-9km,-10km,-11km,24km_ds,23km_ds,22km_ds,21km_ds,20km_ds,19km_ds,18km_ds,17km_ds,16km_ds,15km_ds,14km_ds,13km_ds,12km_ds,11km_ds,10km_ds,9km_ds,8km_ds,7km_ds,6km_ds,5km_ds,4km_ds,3km_ds,2km_ds,1km_ds,0km_ds,-1km_ds,-2km_ds,-3km_ds,-4km_ds,-5km_ds,-6km_ds,-7km_ds,-8km_ds,-9km_ds,-10km_ds,-11km_ds
1969-01-01,-9999.0,5.005,6.053,6.799,6.551,7.223,8.433,9.694,12.017,13.82,15.635,16.965999999999998,18.683,19.205,19.259,18.046,16.586,15.657,14.271,12.185,10.153,8.222000000000001,8.283999999999999,7.779,3.906,2.045,1.776,1.924,2.356,2.428,2.884,3.14,3.532,2.387,2.134,2.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-02-01,5.2570000000000014,6.002000000000002,6.479,7.643,8.743,9.956,11.422,12.883,14.050999999999998,15.018,17.281,18.396,19.511,21.818,22.211,21.136,20.64,19.185,17.137999999999998,15.029000000000002,13.220999999999998,11.533,8.73,6.917999999999998,4.381,2.012,1.722,1.505,1.653,1.6869999999999998,1.897,2.007,1.973,2.214,-9999.0,-9999.0,0.23473879607531212,0.29548888409238105,0.2784594410361284,0.365406602829784,0.385975681737693,0.42165050873925664,0.4388629199991424,0.42946414659596865,0.36355508754542426,0.2870654522578708,0.3192181563914612,0.26319764930059847,0.25962748958972204,0.338021402945716,0.35969585240526314,0.3208125409284358,0.3752607973214398,0.3916859729696644,0.40101232364382006,0.35934214195804737,0.3020831837235497,0.22468375433054133,0.020771571180450005,-0.06823576948330744,-0.05678031101562257,-0.19380932107886112,-0.18044717663973028,-0.30156336108130055,-0.29389149935924824,-0.3541656697133561,-0.3372298689104501,-0.352027604205202,-0.3980359129191165,-0.34247795823665894,,
1969-03-01,4.784,5.204,5.353,5.9670000000000005,6.519,7.247999999999998,8.15,9.389,10.486,12.021,13.871,15.003,16.567999999999998,17.692,17.018,17.134,16.137999999999998,14.316,13.247,12.787,13.237,12.105,12.956,10.318,5.518,2.103,1.758,1.881,2.162,2.594,2.866,2.942,2.652,2.232,2.181,1.747,0.044797257499851126,0.021731268018972,-0.0169592141789451,0.019337108903537466,0.007330146313197164,-0.0018218908070547686,-0.002234260704557292,0.024979019261341353,0.026554737022443056,0.049389743766948116,0.09444352209983335,0.08060285582238447,0.11070546187913652,0.13045365054305216,0.07355820915922585,0.09710992683105782,0.09543695210404773,0.06399437629870044,0.0929623753594614,0.1828907758663888,0.3283020130159282,0.27284835526892276,0.3971651760138573,0.25145040328286383,0.0460456942003514,-0.23395536263119138,-0.2522993496251928,-0.20324040981653554,-0.15900029174365457,-0.08151251825732883,-0.0682389276836694,-0.11978757619955879,-0.24542975696502656,-0.3797056473558054,-0.38748859088675136,-0.4875173412700838
1969-04-01,4.919,5.353,5.528,6.523,7.138,7.978,8.843,9.835,10.541,11.438,12.799,14.27,15.305,16.643,17.897000000000006,17.51,15.144,13.311,11.845,11.054,11.662,11.79,12.001,11.188,5.72,1.908,1.526,1.6880000000000002,1.886,2.256,2.674,3.178,3.449,3.185,2.728,3.57,-0.058041202087902075,-0.019219846461093214,-0.08116214674539253,-0.007780312960176346,-0.01988414503325461,-0.0005950330399925434,0.004836407280887904,0.0060609160422474455,-0.012864785138187874,-0.021204525438655877,0.008016854098505805,0.04067847082739543,0.049120021021243965,0.09986369831894591,0.16187407945402266,0.15888314374353682,0.06784187563351111,0.02587124587558094,0.012194904844136644,0.05043385987800851,0.17961815653053487,0.2499503041386712,0.2641863466083786,0.25230920627665715,-0.020925157259617477,-0.3567003357543233,-0.385456955642624,-0.34763285024154594,-0.32859166524515526,-0.2680325264801508,-0.20216812949103666,-0.12208934264897159,-0.11350054619058841,-0.19724011909075148,-0.2939463708959932,-0.022436720234122416
1969-05-01,5.924,6.76,7.329,8.124,8.741,9.582,10.298,10.903,11.258,12.196,13.311,13.952,14.59,14.974,13.836,13.436,12.502,11.337,10.191,9.732,10.478,10.831,11.674,10.248,7.129,2.722,2.293,2.392,2.835,3.155,3.373,3.435,3.0980000000000003,2.622,2.9210000000000003,3.268,0.10186620373240775,0.16145590043436475,0.12216604023958567,0.1319090151809351,0.119845408977596,0.12699855675104807,0.11313183175473923,0.08763981428755506,0.03963784747807257,0.057332502506028116,0.08690985116673113,0.07694831196148237,0.07557201964632915,0.0693629664455291,-0.01538023608528946,-0.02595037078431083,-0.045879494778615804,-0.0598836636785012,-0.06432157920408559,0.006743432749936819,0.15565114291228951,0.20946376643015002,0.30377788273835393,0.1619788676998956,0.18255364295168422,-0.10500393876083164,-0.13515212471712348,-0.11605884934291072,-0.02144367260646345,-0.007985117156538483,-0.025338173412074887,-0.08017249555093142,-0.23056544415928484,-0.37438920729919023,-0.29877066808038166,-0.2078055875401492
1969-06-01,5.8439999999999985,6.234,6.9860000000000015,7.973,8.841000000000003,9.609,10.39,11.127,11.453,11.937,12.535,12.894,13.468,13.737,14.304,13.977,12.399,11.218,11.577,10.67,10.544,10.053,10.055,10.574000000000002,6.836,2.681,2.238,2.24,2.5810000000000004,2.821,3.313,3.427,3.663,3.526,2.755,2.061,0.13096410978184353,0.11206250668950009,0.10641632108696124,0.12471466311010808,0.13501886112150646,0.11459040677794072,0.10207301631497663,0.07767119583859647,0.02631770550381135,0.005339224084234424,0.00900369102699756,0.008027909567528886,0.03375357396426996,0.03646789567666803,0.08414284451069325,0.0970437364790067,0.04775301174063888,0.048274465753104866,0.191639379064995,0.21803363291088057,0.32460231466214406,0.31957635206641855,0.29449629868039917,0.33435338470396175,0.1731887918366471,-0.11507199735940934,-0.15912079654330258,-0.18733230036657714,-0.12419409569053276,-0.1182939931629497,-0.05457096484604909,-0.07817491005682389,-0.058193349331505065,-0.12424259672253309,-0.3238779871769964,-0.49193175631952507
1969-07-01,4.0139999999999985,4.708,5.506,6.472,7.0870000000000015,7.885,9.033,9.92,10.704,11.966,12.607,13.344,13.413,13.046,13.754,13.287,12.707,11.278,10.566,9.97,7.923999999999999,6.7970000000000015,6.2570000000000014,5.149,4.0680000000000005,2.225,2.097,2.275,2.292,2.565,2.67,2.649,2.793,3.5,4.055,4.12,-0.15386809180750705,-0.16463187778674498,-0.09339634816584999,-0.036591624000595284,-0.05736490081325515,-0.06511171343566713,-0.03750427452088198,-0.03678663929854496,-0.04152387154544341,0.0057624269434507205,0.01729206516297154,0.046470717192186976,0.0347395846117701,0.003444120638230613,0.0879529421916685,0.08249298452068454,0.11852143091873633,0.1154065934065935,0.17377973516080936,0.2871159308029954,0.13789901297839263,0.061301605146461914,0.006300884196682365,-0.18614616738262255,-0.21940694372190997,-0.25177108865905407,-0.2074421481214245,-0.1600000000000001,-0.22237720058808022,-0.20329518629467577,-0.22712740979936832,-0.2785729415680698,-0.2686737383552795,-0.10986775178026448,0.005587977581959363,0.012517202962186181
1969-08-01,4.47,5.15,6.239,7.0379999999999985,7.664,8.654,9.859,10.856,11.469,11.923,12.393,12.934,13.403,13.365,13.175999999999998,12.73,12.175999999999998,10.996,8.988,7.732,6.774,5.749,5.612,5.9510000000000005,4.297,2.105,1.699,1.835,2.131,2.451,2.902,3.07,3.26,3.216,3.878,3.556,0.012600877813960083,0.05183432758341928,0.07493196985897362,0.07332477821793197,0.052592807623756545,0.09212518929833423,0.12095566244333612,0.11698234752033204,0.07691020134885768,0.04832608591771412,0.04427485950013533,0.06395374829444142,0.09051045862856354,0.08574959596919844,0.08306181234357998,0.08118022501472738,0.09604405075412958,0.09019417578129114,0.012188839556342443,0.006611877003021881,0.03723419851506297,0.03415506029952667,0.11340745806211969,0.21409441128594703,0.05459415991310894,-0.1950941707684171,-0.2758476843413045,-0.24860602892489983,-0.20212062551282972,-0.15630698921187347,-0.09737406358366178,-0.10098568206457385,-0.10060519256393842,-0.14295434442403207,-0.008070792221998415,-0.12626252064992358
1969-09-01,3.645,4.218,4.544,5.181,5.872999999999998,6.622999999999998,7.457999999999998,8.669,9.972,11.241,12.086,12.772,12.804,12.609000000000002,12.688,13.177,12.453,10.843,9.713,7.898,5.8020000000000005,4.581,3.526,2.707,2.218,1.7180000000000002,1.5,1.703,1.951,2.536,2.826,3.188,3.609,3.905,3.513,2.669,-0.11010742187500001,-0.08351125134619375,-0.10649175538638739,-0.10327752589853346,-0.08009625790283098,-0.05974641373240019,-0.039805678024050314,0.007942516232549832,0.05762817324983677,0.10030887694951392,0.10853613794790286,0.12189123128628185,0.08434160818304347,0.05003095706201223,0.06242991742999053,0.12125388231072176,0.10396595816847864,0.04101200514267592,0.055673561969118567,0.009640422522294616,-0.10689475163634887,-0.12664743621624303,-0.21842292939611802,-0.3206803997730546,-0.28881019928761137,-0.16712686803111076,-0.22279792746114005,-0.17445965455829213,-0.13079776467056023,0.01576023544572746,0.02530207906110977,0.05363442374427918,0.10794180459156444,0.1285205405439362,-0.010858653869696127,-0.24282287060506821
1969-10-01,3.564,3.878,4.402,4.734,5.351,5.839,6.4220000000000015,7.2879999999999985,8.244,9.241,10.221,11.206,11.993,12.522,12.992,12.842,12.361,11.871,10.547,8.365,6.8020000000000005,4.6110000000000015,3.324,2.873,2.277,1.556,1.406,1.409,1.429,1.756,2.039,2.255,2.539,2.744,2.78,2.483,-0.10654299323138627,-0.11655491347037335,-0.0718024680945276,-0.08793074865471558,-0.05268133929479482,-0.07740237970926869,-0.09295177855903704,-0.08158428159286171,-0.07645663754781953,-0.06748954936115306,-0.05194323346628316,-0.027757816493239287,0.002457810841044484,0.03269696437971573,0.07429516445429689,0.09051127596760847,0.10475203468471878,0.1497881513110711,0.16475989745975558,0.11236072679534413,0.12519181765707937,-0.05005764080355193,-0.18002172920373508,-0.21628021706956105,-0.21584589344724744,-0.1951930801483455,-0.21433836642491982,-0.23450468153970624,-0.2985587467362925,-0.23179596965607113,-0.20852156820640716,-0.20992209922099214,-0.17827754556785064,-0.15863913624947013,-0.17697080406916327,-0.25656788298848243
