date,0km_ds,1km_ds,2km_ds,3km_ds,4km_ds,5km_ds,6km_ds,7km_ds,8km_ds,9km_ds,10km_ds,11km_ds,12km_ds,13km_ds,14km_ds,15km_ds,16km_ds,17km_ds,18km_ds,19km_ds,20km_ds,21km_ds,22km_ds,23km_ds,24km_ds,25km_ds,26km_ds,27km_ds,28km_ds,29km_ds,30km_ds,31km_ds,32km_ds,33km_ds,34km_ds,35km_ds
1992-11-15,0.11089148381309892,0.04768748366866999,0.08256412532173592,0.08614994850181754,0.146959130400904,0.16192446225282436,0.20774398868458271,0.7972263614196697,0.2995940361544482,0.5134636844403473,0.9324899367452562,0.714614252422421,0.9389834688179807,0.7782122633090494,-0.07394509133639561,0.3183146530977101,0.3624358343295128,-0.09111124253356209,-0.05757081613707399,-0.07940353544338587,-0.010261369270709992,-0.06164929327046011,-0.1446489478467147,-0.10143002758124466,0.0810007695811282,0.045007623407159594,0.08956178697089241,0.16209653728931828,0.26246038605589156,0.260707705749397,0.27240058954917684,0.3027914993425496,0.29630342291492945,0.36651852732650564,,
1992-12-15,-0.09176521753675783,-0.031762295081967235,0.056027278197499385,0.06373529024457412,0.09877447715465588,0.03959228116871303,0.022493270524898957,-0.03925237039997088,0.009646702856634362,-0.04099892949014952,-0.1279177834947401,-0.15053422529406177,-0.0901481004507405,0.0020760428385844486,-0.09090167943909983,-0.403865816933959,-0.27753116425234825,-0.16466946036089955,-0.07606973554847214,-0.104496610008053,-0.10296096534830179,-0.09726377994827842,-0.011242752165235731,-0.010227356968117827,0.014413650574956525,0.0240418646091217,0.12743217989275818,0.1956709413869772,0.2779921180633634,0.20595485627317747,0.21324317427915307,0.2587630123617437,0.3244603249177814,,,
1993-01-15,-0.12913726721417113,-0.04352816727059942,-0.0142679972646241,-0.037037037037036924,-0.0512503644871493,-0.0440467359050447,-0.0656043397185962,-0.10223863374105702,-0.24157425527288545,-0.4569622529288905,-0.6207240796202351,-0.6416117783804727,-0.5502101030182541,-0.5978370704825186,-0.6124280526323113,-0.42036780967604165,-0.4314968494001852,-0.3109122754612972,-0.3246232189702177,-0.3339312173438353,-0.17572097917867247,-0.15113172494850036,-0.10581562354192353,-0.02449112876891262,0.029544949781605337,0.11258431215986184,0.1558821854740968,0.14981406139990264,0.14188946533843844,0.1369138959931799,0.13946398295198234,0.15417159953378679,0.17180341299871718,0.16449343265092187,,
1993-02-15,-0.28554592514134824,0.0038815690164537256,0.025631964307406843,0.09552840649977215,0.1279111240274238,0.17272239126543748,0.11002420665185514,0.06525598239011565,-0.09182447884960254,-0.4307890665291387,-0.651276178578245,-0.6930485308093146,-0.5064153969526864,-0.6009152781037316,-0.49000672918105004,-0.243915738491023,-0.26845412319230255,-0.18561994221460656,-0.13810454457871116,-0.21091911045084744,-0.19693483582631385,-0.09972237509937018,-0.020147682849410552,0.013908720425127233,0.0761253067353593,0.08076020054202405,0.044650186272652374,0.04830801528625367,0.010364812039531013,0.02820341190730312,0.07922334709733302,0.13916552336373136,0.20411174312282818,0.2171368861024034,0.2851938750308718,
1993-03-15,-0.15411231064542558,-0.07710771653240901,-0.026681572204469726,0.01918475566381401,0.02113579418076303,0.045175712898032065,0.027499200604633473,-0.0516535577940297,-0.11145958660592381,-0.06237036124288916,-0.13339800951146874,-0.26897391024480516,-0.31732403980276697,-0.401210973996821,-0.3642209708326965,-0.3579986814044883,-0.2902589066902287,-0.1934931352757139,-0.17545354658219994,-0.15855975325381627,-0.0574966030349389,-0.01284826579819662,0.03702896309777902,0.09608654152083988,0.08800173455836528,0.11671693568138264,0.20032628029138633,0.26214765157371395,0.26553424712739204,0.23015805113989596,0.2537173987420058,0.2846958895798572,0.27444949587181994,0.25223356057077484,0.29348916668926406,
1993-04-15,-0.0003832250981365311,0.04729250413809373,0.06860927645858765,0.04206742836489229,0.0627270784355632,-0.05061735619404297,-0.171090736642428,-0.2739456266068596,-0.3440538612671915,-0.051720736210152336,0.03860271202404545,-0.09412706470381506,-0.22048392776296583,-0.20384732901108743,-0.24276066821384526,-0.06445553715595059,-0.2036081324270863,-0.2598256816654585,-0.14772355629390174,0.005590174748810156,-0.05783736799512459,-0.015612037106870709,-0.02463930464366098,-0.01239106905747529,-0.05710224592224668,-0.1052286673153683,-0.1300829426613774,-0.11609200452114604,-0.13345723578398083,-0.1548665271067634,-0.1976544367077305,-0.2588272343641747,-0.2748750999596203,-0.11102772332679943,-0.08417147568013186,
1993-05-15,-0.04767623393779275,0.11803782997297907,0.09690208048275611,-0.026106145042450436,-0.07765958523526631,-0.02107390300230958,-0.045622899752262754,-0.15910378962481578,-0.25552433181891326,-0.3548407284560986,-0.4528337814473193,-0.3879922530664946,-0.3288320387657664,-0.3425828124188325,-0.2502212960572419,-0.23359189761398497,-0.23933789168183375,-0.19646717880307285,-0.06505011073157917,-0.06946209233375687,-0.044593233717100875,0.02285455554896757,0.07252576638477794,0.08965269676029795,0.10195526011312339,0.11765582094192026,0.08831861586722474,0.03194794274892925,-0.018294446586965028,-0.028216972416523572,-0.09923355993443189,-0.09145739910313908,-0.11220571046919334,-0.2021092566302001,-0.3645164476933714,
1993-06-15,0.28712376670413353,0.22535548597127722,0.049732365449479295,0.04591956340313004,-0.05390321855482688,-0.07331574850817253,-0.05084385444839424,0.04311156390647756,-0.05024896932055468,-0.20480464966096196,-0.3703669221777405,-0.478366099104072,-0.38189995911135355,-0.24897921402050813,-0.2725669392336059,-0.14079044447546324,-0.1356264591439689,-0.028543954853024005,0.02727544569117738,0.035177445908953615,-0.026061628085236845,0.04118238728483475,0.07469948647330514,0.10444220284984895,0.12076978307042016,0.10201282723569037,0.06472340976810459,0.04154433751970855,0.027491573147286886,0.05584559405157399,0.08210702417158784,0.0829399375408525,0.09118625479802592,0.10365702054979621,0.15031914034095484,0.1420721236405268
1993-07-15,-0.48508758087423076,-0.38740853991481927,-0.2061407249466951,-0.18629217244061166,-0.18676113481697643,-0.21886898738798882,-0.18941331560623312,-0.09136157765616174,-0.19500435666569851,-0.1316588462600054,0.002766967760362998,-0.08266017010727866,-0.3661181466595891,-0.013106018896462096,-0.04920462466950937,-0.06935924828267512,0.005368205087345375,0.05606757808158281,0.13578630561299038,0.08389525184697127,-0.0002815755717551078,0.022892222357782707,0.024213592517235896,0.08648952227175397,0.07576276384468118,0.03257890750704896,0.025206277504978135,0.01429590889750323,0.032480407893494594,0.03995810843470537,0.03384174540706228,0.04027422117000321,0.058494425282746586,0.08384263991155805,,
1993-08-15,-0.3772627509413446,-0.28535332345015996,-0.24265878877400288,-0.1526257209349389,-0.17236195799457987,-0.2209483336552775,-0.11103979460847242,-0.2517600559924248,0.05885957826123298,0.4493779405511435,0.3590888318627625,-0.04871060171919785,-0.0066709705186140935,0.05894984650134418,-0.12168204737893619,-0.1666514782653977,-0.18450734198765725,-0.011567888128271798,0.06401890501817026,0.050418848914703315,0.06457792346004851,0.09219321716603504,0.15731791806038406,0.2231864631843336,0.14573727969761732,0.12111045368045655,0.11630178344579525,0.09449501517121821,0.06899990028916127,0.09330093594111621,0.0749322690009865,0.06389055493673779,-0.0905685371012656,-0.08534319440396368,,
