,linear_pre,linear_post,post_const,pre_const,gap_const,enso,qboA,qboB,solar,pre_tropop,temp_sur,AO,NOI,EA,AOD
1972-10,-2.42523802679042,0.0,0.0,1.0,0.0,1.617,-0.10042688270196427,1.7023834663593356,-0.004422551892750472,,,,,,
1972-11,-2.4167505150687556,0.0,0.0,1.0,0.0,1.704,0.6653183180952167,1.7747468122644563,-0.4486031988663099,,,,,,
1972-12,-2.40853679404779,0.0,0.0,1.0,0.0,1.787,1.172230471536346,1.34694754469805,-0.44989221946264735,,,,,,
1973-01,-2.4000492823261257,0.0,0.0,1.0,0.0,1.723,1.1350492478542524,0.5949373949164422,-0.4657660535694504,,,,,,
1973-02,-2.3915617706044614,0.0,0.0,1.0,0.0,1.515,0.9704885847167637,0.10978247843110289,-0.5241765683727689,,,,,,
1973-03,-2.3838956309848935,0.0,0.0,1.0,0.0,0.87,0.8610498689226926,-0.29950033884583155,-0.4566753115699594,,,,,,
1973-04,-2.3754081192632293,0.0,0.0,1.0,0.0,0.491,0.8288431714276135,-0.5708014935059513,-0.3183911400007899,,,,,,
1973-05,-2.3671943982422636,0.0,0.0,1.0,0.0,-0.099,0.8341131879287447,-0.9333904597115856,-0.46157032649276236,,,,,,
1973-06,-2.3587068865205993,0.0,0.0,1.0,0.0,-0.758,0.5534728334409265,-1.110249708801118,-0.569782789719516,,,,,,
1973-07,-2.3504931654996337,0.0,0.0,1.0,0.0,-1.056,0.19932497963700527,-1.1881942305621365,-0.7172299630322756,,,,,,
1973-08,-2.3420056537779694,0.0,0.0,1.0,0.0,-1.334,0.0272321985255169,-1.2344938948785928,-0.7695366939216507,,,,,,
1973-09,-2.333518142056305,0.0,0.0,1.0,0.0,-1.734,-0.20920085150225567,-1.2634323480572172,-0.29577384009795493,,,,,,
1973-10,-2.3253044210353395,0.0,0.0,1.0,0.0,-1.66,-0.4385990777405381,-1.1763165205344186,-0.7223347643089124,,,,,,
1973-11,-2.3168169093136752,0.0,0.0,1.0,0.0,-1.489,-0.6702828833649496,-0.9817345407851255,-0.8828120011542744,,,,,,
1973-12,-2.3086031882927096,0.0,0.0,1.0,0.0,-1.8259999999999998,-0.8071705092486031,-0.8266281155350942,-0.843171704117523,,,,,,
1974-01,-2.3001156765710453,0.0,0.0,1.0,0.0,-1.912,-0.9591360387987427,-0.7268348825619521,-0.867227206023866,,,,,,
1974-02,-2.2916281648493806,0.0,0.0,1.0,0.0,-1.768,-1.0550651640120088,-0.6970795762413909,-0.9009079056406588,,,,,,
