date,0km,1km,2km,3km,4km,5km,6km,7km,8km,9km,10km,11km,12km,13km,14km,15km,16km,17km,18km,19km,20km,21km,22km,23km,24km,25km,26km,27km,28km,29km,30km,31km,32km,33km,34km,35km,0km_ds,1km_ds,2km_ds,3km_ds,4km_ds,5km_ds,6km_ds,7km_ds,8km_ds,9km_ds,10km_ds,11km_ds,12km_ds,13km_ds,14km_ds,15km_ds,16km_ds,17km_ds,18km_ds,19km_ds,20km_ds,21km_ds,22km_ds,23km_ds,24km_ds,25km_ds,26km_ds,27km_ds,28km_ds,29km_ds,30km_ds,31km_ds,32km_ds,33km_ds,34km_ds,35km_ds
1969-11-01,3.64,5.166,3.823,3.042,2.912,2.342,2.059,1.974,2.428,2.949,3.595,4.61,5.294,6.379,7.2360000000000015,9.04,10.831,12.084,13.566,14.446,14.11,14.793,14.47,13.77,12.549,11.196,9.86,8.575,7.322999999999999,6.106,4.95,4.1960000000000015,3.451,3.062,2.919,2.54,0.4655627972520699,0.4864493852618706,0.11508522468325591,-0.04975856099751395,-0.006079740597734274,-0.099086392050008,-0.11872023968755004,-0.08840592259070046,0.12154281425024542,0.2394011032308904,0.2749828214240853,0.3690866568497641,0.3284193027304234,0.37397016854235104,0.3399586432517516,0.3611254881663766,0.3449924457230373,0.27860331316337655,0.2778398108264568,0.23965195751550453,0.14475018592387287,0.16250331529159823,0.11479019839785835,0.07175345260082151,0.029042354002378007,0.004101170935683645,-0.010580318224864762,-0.011821647732183516,-0.016471159753675926,-0.030742367321022205,-0.08359895682410913,-0.10648656758313248,-0.13563445964481233,-0.1492940671330791,-0.08424965882888133,-0.11927877947295419
1969-12-01,1.5590000000000002,2.454,2.585,2.492,2.439,2.184,2.042,1.7080000000000002,1.517,1.586,2.426,3.685,4.785,6.107,7.342,9.038,11.659,13.341,13.944,14.375,15.282,15.747,16.037,15.282,13.529000000000002,12.444,10.495,8.949,7.627999999999999,6.5710000000000015,5.806,5.355,4.9,4.251,3.961,3.669,-0.33330234460703206,-0.26254793464556125,-0.21753778731188592,-0.1838582901406846,-0.12420963889279206,-0.12868058386310613,-0.0977099823253671,-0.19091311645916348,-0.2701772734403597,-0.3093184636794818,-0.1316567586915247,0.0332195538217725,0.05481329550682439,0.12986610787787622,0.15329085308801335,0.20418708653389384,0.34501844555739203,0.30331346922478986,0.22661975063107162,0.15620934689252924,0.14430170398682138,0.13212519048177265,0.14353787367947848,0.12033659247926175,0.06069112446205619,0.07388765174780812,0.02938887431847773,0.023050407700203158,0.024544355615769363,0.04506545464827006,0.07675378947108127,0.12790959677103353,0.23510470032957115,0.221409138660178,0.22298382116833396,0.18027407836325035
1970-01-01,1.0659999999999998,1.751,2.096,2.292,2.146,1.859,1.726,1.58,1.3030000000000002,2.268,3.449,5.381,7.207000000000002,8.774,8.34,9.294,10.939,13.448,14.55,14.952,16.215,16.496,15.297,13.915,12.055,10.63,9.326,8.002,7.287000000000001,7.109,6.127999999999999,5.6110000000000015,4.335,4.584,3.658,2.682,-0.5646004812516094,-0.4753182120197506,-0.36389726402459527,-0.2501706873008648,-0.22214517603303172,-0.24632699646580822,-0.22567683545291392,-0.23385056501939613,-0.37706689946891986,-0.09704780121342199,-0.003617408779752518,0.12357581864894564,0.20060116611740908,0.2794953081410095,0.08686660358435912,0.08079329566569352,0.10914593422192441,0.20239231380750702,0.15091757002146064,0.05733633617475937,0.06607342698821288,0.05424202596926237,-0.0156728673625546,-0.05424054373522478,-0.10842823356147971,-0.12428655089106136,-0.13572994230087343,-0.1430753113723664,-0.08664371542690984,0.03991197131591173,0.0476566774056287,0.11130917013269977,-0.0014684287812041672,0.20913273182879602,0.10664925800904419,-0.05430183356840618
1970-02-01,1.2,1.859,2.124,2.171,2.141,2.122,2.095,2.256,2.821,5.398,7.654,10.071,12.271,13.209,14.378,13.668,15.251,15.211,16.557000000000002,16.933,19.446,18.521,17.089000000000002,15.544,14.022,12.475,10.974,9.482,7.901,6.917999999999998,5.893,5.461,4.648,4.089,3.788,3.982,-0.5477326490517621,-0.489811320754717,-0.4068799413581862,-0.3473907025970855,-0.29325355890241384,-0.2197931826886252,-0.16040476906121623,-0.05341829911100637,0.11512077016198764,0.6601036667798585,0.5991851551992061,0.5342730097469475,0.5212769254610263,0.4656954420097044,0.5355779243318292,0.3602312167491158,0.3751796351504428,0.18330567368530237,0.13965480649546572,0.07624144935289193,0.17453099066700065,0.11613892226394619,0.07480863933197746,0.0448507454148122,0.03494933092956898,0.02428802526807139,0.023584325274760183,0.01226334737822393,-0.02476771242036025,-0.028507232130319065,-0.05199837077247947,0.009450807035207499,-0.01827737799936151,0.0037956038975753884,0.03095869905422851,0.17122568175133399
1970-03-01,1.93,2.3040000000000003,2.677,2.742,2.7230000000000003,2.587,2.546,3.844,5.188,6.662000000000001,9.586,12.747,13.645,13.704,14.662,12.448,11.102,14.225,16.358,18.406,17.804000000000006,16.896,16.928,15.61,14.063,12.554,11.223,10.034,8.936,8.104,7.2010000000000005,7.164,6.445,5.012,4.694,3.5460000000000003,-0.34627977870610815,-0.4013154689403167,-0.3014547589536174,-0.2340648405174671,-0.16305517135392653,-0.1295362938558057,-0.057684152086915845,0.47700583559472637,0.8122434721858354,0.8362417957243021,0.830342616423153,0.7990526287933808,0.5925498158121891,0.49694826385570123,0.5494438720245173,0.2690332473865523,0.009848417374298502,0.15072316243263006,0.16004928684768052,0.18770097759805549,0.09738658777120349,0.04406395633255234,0.0915700427603605,0.08314083085898978,0.07295688456189152,0.063774348328055,0.06477760801374093,0.06380647783294754,0.07394702975007127,0.1048335330974034,0.11299016608813818,0.26092280729348044,0.2959636446505895,0.1383776749211183,0.15494863750999557,-0.029290993703804908
1970-04-01,2.135,3.212,3.2310000000000003,2.926,2.7230000000000003,3.089,3.305,3.4960000000000004,4.2810000000000015,7.387,10.4,10.795,10.936,11.48,13.737,13.077,14.932,14.538,16.207,18.699,18.197,17.205,16.282,14.892,13.512,12.191,10.803,9.816,8.853,8.213,7.591,6.814,6.274,5.609,4.862,4.651,-0.3616504400799806,-0.2163504302611046,-0.22140278830658308,-0.24713752733822197,-0.22978467630732227,-0.038886115990691764,0.11742704393212607,0.22669356784140027,0.3736930769847855,0.8686482213438734,0.8572050403473336,0.4243264713724562,0.20912705176694982,0.2314541054057134,0.49569241238516515,0.3645268581117801,0.3818941815671863,0.21240509408065059,0.20212320458636918,0.25003412151716825,0.15963702262966098,0.10074281212971023,0.0799991708641668,0.05321660001944887,0.035976187319604204,0.02073681272676534,-0.007909267273541182,-0.009102074465400345,-0.010577735763830018,0.01530854022870076,0.04500453142745711,0.04584058119308298,0.0767076590649364,0.08860589412080844,0.05572399372713014,0.11449875958502488
1970-05-01,2.515,3.893,4.394,4.259,3.95,3.381,2.97,2.65,2.421,2.301,3.026,7.947999999999999,9.48,10.535,10.244000000000002,11.386,9.684,11.329,13.44,15.286,17.543,17.410999999999998,16.277,15.216,13.197,12.027,10.935,9.755,9.05,7.917999999999998,7.707000000000002,7.06,6.983,6.332999999999998,5.77,5.1770000000000005,-0.3145699312412347,-0.13323159559713724,-0.0004360106917403677,0.04262144587530289,0.049392282317518604,-0.019283413605351667,-0.054692058776722834,-0.10667883980616616,-0.19251214275291334,-0.34440942358031956,-0.37539293808026913,0.1713607599794898,0.13363228699551588,0.20707516768911266,0.1970640147042716,0.3072924764567849,-0.0029343629343630455,0.04281191331378572,0.10493187520874182,0.15248433595277747,0.2479311407772744,0.2129772753991716,0.15257837809130995,0.12699110742837566,0.03683940885409417,0.0015179877207802737,-0.030662089114524387,-0.07755227479580627,-0.07685245790158174,-0.1204889258118489,-0.05649030184781357,-0.034920106623557545,0.0887418973857253,0.11328724839848782,0.15918103523574959,0.11405207660856471
1970-06-01,3.207,4.626,4.708,4.012,3.733,3.647,3.612,3.02,3.475,3.941,4.702,6.178,7.879,7.974,7.734,8.538,9.012,9.634,10.812,11.772,13.582,14.831,15.039,14.254,13.349,12.735,11.825,11.417,10.425,9.607,8.277000000000001,7.7120000000000015,6.77,6.2570000000000014,5.933,5.641,-0.12224160936056669,0.0957216876387862,0.11742163896814134,-0.010898930651573279,-0.03041584372717186,0.016685735525574563,0.07882619409114672,-0.02306868037443625,0.14116045345392605,0.21711715769223333,0.15579134959083124,0.11712431202510436,0.14597385597149226,0.09841329969953448,0.08888680307865586,0.14688054447050147,0.08268779768683417,0.03944398989399484,0.04480592688033482,0.027415642080228564,0.06534890333460802,0.10260484912691537,0.11354461524222342,0.07978202099302599,0.03760297053913079,0.01907684921070226,-0.015388458395999218,0.006499815419200736,-0.00687684201125302,0.005725053488356877,-0.036977246449529926,0.006183728774860798,0.00422754579841258,0.07464737327980443,0.1576167076167077,0.24715481391798677
1970-07-01,2.6830000000000003,3.502,3.593,3.526,3.424,3.135,2.931,3.031,2.885,3.943,4.125,4.694,4.614,5.81,5.903,6.215,6.992000000000001,8.51,10.533,11.705,13.055,14.236,13.951,13.945,13.512,13.126,12.445,11.896,11.075,10.074,9.119,8.049,7.068,6.449,5.547999999999999,4.524,-0.28121093052330753,-0.1651657060518731,-0.11971275037702876,-0.1111970020333742,-0.10718631575287697,-0.13685505038453802,-0.13105206638249653,-0.025220834167119278,-0.01551872561869398,0.24591856080554444,0.10989488103027593,-0.023304203079484,-0.18930315915240561,0.020432059012938365,0.0414404171485699,-0.005444407302831511,-0.023942324992709853,0.02552023707144461,0.0923628972040157,0.08307424679843087,0.07362355602908663,0.10146921020280096,0.07245450082376341,0.06222260590487599,0.05320143986848447,0.04046796773804169,0.020279636889412485,0.03209925366057402,0.044775479400363485,0.048785566251525074,0.06561061379336587,0.06615323480992294,0.06380526197931775,0.13289131591363082,0.12661728586071497,0.08759337168369519
1970-08-01,2.862,4.4430000000000005,4.297,3.816,3.587,3.244,2.983,2.657,2.1,1.948,2.428,3.547,4.1789999999999985,4.401,4.63,5.584,6.542999999999998,8.076,10.476,11.244000000000002,12.403,12.781,12.44,12.205,12.345999999999998,12.458,12.558,11.955,11.126,9.93,8.75,7.855,6.87,6.0,5.3,4.561,-0.22884562465602645,0.05996741232545029,0.08242576910708527,0.007969247024177473,-0.009511891332957476,-0.05012055098340941,-0.04900118704425979,-0.06065050924463309,-0.21111945905334328,-0.2753205635586512,-0.19424968402917525,-0.016164250979651712,0.00017822770371378664,-0.03192335773255712,-0.042154700753124295,0.006037420507296439,-0.030962952225797133,0.0035083081071791006,0.1216580707477541,0.07133039518977022,0.07138380558021405,0.054101243077441526,0.007902140335392754,-0.009009242463505117,0.007227936913511017,0.020754663208743685,0.057351258843017686,0.06693233429886844,0.08319135471936892,0.06833628807050195,0.05707134772000867,0.07741803728404435,0.09235536035823105,0.08062257804012236,0.07736906298057353,0.06691618298513133
