,pre,post,post_const,pre_const,gap_const,enso,qboA,qboB,solar
1986-09,-1.0335598951381617,0.0,0.0,1.0,0.0,1.077,-1.5052062407119071,-0.16859611010026407,-1.105299753233596
1986-10,-1.025346174117196,0.0,0.0,1.0,0.0,0.96,-1.4695744159376978,-0.0983997702439926,-0.8253398640415989
1986-11,-1.0168586623955318,0.0,0.0,1.0,0.0,0.865,-1.2803411630860664,0.32332746986465194,-0.9747986553916819
1986-12,-1.0086449413745662,0.0,0.0,1.0,0.0,1.202,-1.174672275356601,0.5201974753284788,-1.0854050140116345
1987-01,-1.0001574296529019,0.0,0.0,1.0,0.0,1.249,-1.246274099592314,0.47732008437691864,-1.0893909547344882
1987-02,-0.9916699179312374,0.0,0.0,1.0,0.0,1.218,-1.189216207958387,0.5453280294345866,-1.097944743566426
1987-03,-0.9840037783116695,0.0,0.0,1.0,0.0,1.716,-1.1011187835925063,0.7577701753079565,-1.0221893927228707
1987-04,-0.9755162665900052,0.0,0.0,1.0,0.0,1.855,-0.9596140124545282,1.2128848716551763,-0.7569355269346646
1987-05,-0.9673025455690398,0.0,0.0,1.0,0.0,2.1069999999999998,-0.11433278624522775,1.7116642098415145,-0.6650630897121224
1987-06,-0.9588150338473754,0.0,0.0,1.0,0.0,1.9580000000000002,0.5596473816808551,1.506205549243238,-0.8677097146376853
1987-07,-0.9506013128264099,0.0,0.0,1.0,0.0,1.8780000000000001,0.9745927529199832,1.0783563319631746,-0.7249221293395365
1987-08,-0.9421138011047455,0.0,0.0,1.0,0.0,1.973,1.2833517385431634,0.16243366288604397,-0.6121969285458561
